date,meal_period,就餐人数,销售总额,热量需求,碳水需求,蛋白质需求,脂肪需求,膳食纤维需求
2022-12-06,lunch,291,2947.97,229116.89,27524.31,11247.43,8161.36,2072.04
2022-12-07,lunch,296,3235.1,203735.64,22995.27,10783.24,7461.45,1721.55
2022-12-08,lunch,316,3303.38,240778.64,27838.0,13266.15,8021.17,2002.17
2022-12-09,lunch,311,3336.45,246111.22,26971.2,12956.41,9339.91,1860.69
2022-12-12,lunch,278,2988.81,200164.67,22678.13,10919.59,6986.87,1609.23
2022-12-13,lunch,281,3006.63,177919.99,22339.01,9084.81,5711.91,1459.05
2022-12-14,lunch,246,2771.66,193196.53,21126.61,10762.74,7003.0,1345.35
2022-12-15,lunch,323,3542.55,236208.7,27016.79,12452.11,8242.01,1869.12
2022-12-16,lunch,231,2784.73,170759.42,19290.16,9697.05,6217.48,1445.31
2022-12-17,lunch,164,2404.75,151720.34,14944.39,8436.59,6128.29,1040.77
2022-12-18,lunch,28,422.82,26164.86,2167.88,1619.21,1121.31,164.09
2022-12-19,lunch,132,1766.09,105481.12,11554.9,5327.88,4041.24,738.85
2022-12-20,dinner,9,49.04,3773.7,658.66,156.26,53.33,46.7
2022-12-20,lunch,115,1405.02,88494.93,11099.45,4723.06,2808.45,650.2
2023-02-07,lunch,1,8.78,5185.7,1124.9,107.7,11.97,15.96
2023-02-08,other,1,91.32,2075.5,423.4,103.78,12.45,116.23
2023-02-09,dinner,3,41.1,2406.7200000000003,286.85,122.33,80.2,14.919999999999998
2023-02-09,lunch,325,3606.13,226228.61000000002,25007.96,12812.44,7919.22,1602.64
2023-02-10,dinner,11,130.22,8243.19,803.79,428.58,359.33,68.33
2023-02-10,lunch,379,3686.87,261002.68,30325.56,13097.2,9077.91,1887.01
2023-02-13,lunch,279,2935.09,184705.05,21652.77,10337.95,6147.01,1484.88
2023-02-14,lunch,249,2598.67,189637.6,21859.59,9843.91,6832.04,1444.73
2023-02-15,lunch,301,3242.13,214022.93,24203.4,12191.5,7223.4,1638.51
2023-02-16,lunch,312,3315.88,210864.86,25409.91,11017.03,6922.11,1529.55
2023-02-17,lunch,301,3233.56,228027.58,25009.34,12448.74,8529.59,1728.71
2023-02-20,lunch,268,2892.24,195472.42,23435.87,10183.41,6340.82,1418.32
2023-02-21,lunch,283,2981.31,205127.7,25371.84,10132.47,6798.43,1641.2
2023-02-22,lunch,283,3175.76,207089.88,22966.4,11676.53,7657.89,1616.98
2023-02-23,lunch,300,3131.25,205777.87,23715.74,11951.1,6847.99,1871.04
2023-02-24,lunch,239,2710.19,168985.96,20295.72,8533.07,5862.01,1329.72
2023-02-27,lunch,247,3030.34,199724.61,21096.329999999998,11438.53,7443.76,1466.57
2023-02-28,lunch,245,2660.72,158195.51,18747.84,8422.13,5333.29,1401.23
2023-03-01,lunch,274,3109.71,192570.58,21322.91,11086.44,6735.66,1540.49
2023-03-02,lunch,288,3294.24,212849.13,26537.0,10756.29,6955.42,1883.29
2023-03-03,lunch,237,2759.29,162789.49,18908.98,9095.3,5388.53,1301.25
2023-03-06,lunch,256,2832.78,176034.22,20474.61,9695.83,5783.98,1264.44
2023-03-07,lunch,295,3258.8,200436.78,25105.02,10523.4,6352.38,1731.6299999999999
2023-03-08,lunch,245,2981.75,173938.19,19564.11,9750.81,6240.21,1531.58
2023-03-09,lunch,259,3458.46,196545.3,20195.49,11410.24,7484.59,1487.8
2023-03-10,lunch,227,2407.42,161145.85,20562.58,8006.03,5000.05,1530.84
2023-03-13,lunch,287,3375.77,193271.99,23508.05,10298.51,6207.61,1465.79
2023-03-14,lunch,286,3109.67,201675.84,24349.62,9785.88,6964.79,1685.7
2023-03-15,lunch,264,2812.98,193314.26,21283.0,10971.81,7004.01,1481.41
2023-03-16,lunch,272,3239.12,193693.23,23251.94,10285.15,6573.39,2018.7
2023-03-17,lunch,228,2762.08,175350.97,18621.98,8911.16,6830.25,1082.71
2023-03-20,lunch,250,2899.97,182850.36000000002,21920.19,9439.69,6144.8,1578.8
2023-03-21,lunch,252,2852.81,165363.94,21348.73,8875.29,4674.74,1371.69
2023-03-22,lunch,284,2947.07,209192.92,22415.86,11710.12,7861.35,1473.03
2023-03-23,lunch,279,3090.51,198376.97,23846.32,10221.38,6621.25,1473.93
2023-03-24,lunch,257,2875.35,216605.77,24635.18,10321.56,7908.55,1895.28
2023-03-27,lunch,274,2984.54,186135.62,21701.27,10403.54,6028.9,1330.43
2023-03-28,lunch,283,3074.59,224509.9,27785.61,10690.83,7715.05,2065.86
2023-03-29,lunch,279,3033.47,191115.12,21971.91,10386.33,6554.87,1549.86
2023-03-30,lunch,262,2817.18,184181.77,21843.22,9673.91,6356.95,1495.68
2023-03-31,lunch,230,2721.45,186073.44,21722.31,9262.02,6606.14,1473.0
2023-04-03,lunch,269,3013.97,178824.66,20329.2,10384.67,5958.5,1209.17
2023-04-04,lunch,263,2939.66,196437.94,25060.23,9502.05,6439.38,1665.86
2023-04-06,lunch,264,3061.79,187694.52,21145.31,10271.34,6552.99,1361.46
2023-04-07,lunch,238,2648.16,179097.37,19657.9,9839.84,6452.8,1443.75
2023-04-10,lunch,256,2832.48,179376.12,21514.03,9635.93,5717.38,1497.53
2023-04-11,lunch,245,2961.44,188030.08,20678.27,10411.04,7055.16,1404.86
2023-04-11,other,1,240.63,14142.5,577.7,866.55,979.86,115.54
2023-04-12,lunch,261,2837.47,177260.92,20988.02,9670.2,5683.37,1501.07
2023-04-13,lunch,255,2601.37,165591.96,21385.01,8630.39,4984.07,1413.22
2023-04-14,lunch,229,2438.45,160517.59,18419.81,8615.0,5473.68,1130.89
2023-04-17,lunch,278,2940.28,189889.72,22903.82,10657.32,5718.03,1417.36
2023-04-18,lunch,279,3253.6,227727.2,25429.01,10667.71,8758.02,1968.85
2023-04-19,lunch,266,2810.74,177175.76,20517.89,9773.81,5918.88,1411.08
2023-04-20,lunch,261,2865.9,184775.28,21585.3,9783.45,6429.96,1436.32
2023-04-21,lunch,266,2808.75,203602.94,22399.29,10199.85,7533.56,1499.33
2023-04-23,lunch,272,3228.24,213419.4,24743.31,11524.54,7180.84,1774.36
2023-04-24,lunch,246,4556.49,196067.37,19317.67,12077.16,7696.82,1261.42
2023-04-25,lunch,285,3279.46,206020.24,24281.74,10413.88,7186.01,1754.93
2023-04-26,lunch,253,2775.61,183564.73,21326.59,9839.17,6060.33,1707.6
2023-04-27,lunch,271,2780.43,187297.88,23144.28,9439.65,5899.64,1578.21
2023-04-28,lunch,228,2442.44,147489.2,18411.59,7733.86,4561.8,1263.0
2023-05-04,lunch,279,3006.31,213386.25,24346.93,11123.54,7448.35,1543.76
2023-05-05,lunch,250,2772.72,170509.58,21141.43,8195.47,5585.34,1495.7
2023-05-06,lunch,281,3280.27,204800.48,21751.64,11616.99,7468.44,1602.48
2023-05-08,lunch,290,3091.76,215690.68,24031.03,11193.61,7737.36,1709.44
2023-05-09,lunch,273,3043.65,198642.37,21290.14,10659.19,7515.06,1596.34
2023-05-10,lunch,250,2571.02,168505.37,19667.11,8059.84,6007.86,1545.49
2023-05-11,lunch,278,2833.96,202367.53,21977.3,11326.09,7342.09,1526.5
2023-05-12,lunch,209,2344.59,153071.65,17700.84,8276.12,5282.29,1107.44
2023-05-15,lunch,271,3153.58,180350.06,20356.34,9714.23,6417.72,1364.02
2023-05-16,lunch,272,2695.11,178517.45,21408.14,9512.13,5886.77,1376.61
2023-05-17,lunch,262,2972.36,187680.24,21500.28,9411.17,6701.7699999999995,1447.5
2023-05-18,lunch,296,3010.35,187032.33,23002.32,9945.17,6186.27,1742.93
2023-05-19,lunch,259,2556.94,184928.29,21836.85,9658.19,6454.41,1323.14
2023-05-20,lunch,6,55.760000000000005,2921.3599999999997,273.68,191.15,121.26,23.11
2023-05-22,lunch,253,2660.27,169416.09,19677.43,9192.02,5682.91,1288.82
2023-05-23,lunch,278,3001.63,174396.21,22221.45,8869.02,5341.47,1726.31
2023-05-24,lunch,222,2385.43,157721.72,16920.24,9126.43,5810.01,1080.56
2023-05-25,lunch,258,2973.43,174806.13,21135.83,9484.1,5632.4,1369.67
2023-05-26,lunch,233,2766.11,168555.74,18440.43,8719.44,6212.7,1247.76
2023-05-29,lunch,277,3107.86,197567.53,23150.329999999998,10879.47,6759.42,1760.4
2023-05-30,lunch,268,2499.34,165913.67,20657.55,8049.95,5429.96,1339.86
2023-05-31,lunch,255,2737.9900000000002,171406.1,20080.75,9085.63,5883.77,1216.7
2023-06-01,lunch,225,2259.32,147715.53,17439.7,8201.03,4983.06,1291.75
2023-06-02,lunch,264,2908.7400000000002,159088.06,19387.75,8498.53,4992.5,1335.06
2023-06-05,lunch,290,3057.99,192275.26,20289.71,12095.87,6803.85,1326.82
2023-06-06,lunch,264,2847.39,165492.09,19716.27,9199.0,5359.62,1215.71
2023-06-07,lunch,290,3406.61,216003.51,25300.92,10473.039999999999,7821.47,1789.4
2023-06-08,lunch,268,2819.72,188214.82,21519.45,10097.16,6714.44,1700.91
2023-06-09,lunch,256,2641.72,163228.33,19502.89,8700.88,5487.29,1258.23
2023-06-12,lunch,269,2786.04,187669.86,21811.73,9586.06,6448.93,1412.0
2023-06-13,lunch,271,2695.68,203405.08,23148.48,10651.01,7477.74,1537.06
2023-06-14,lunch,279,2894.39,191262.82,22939.16,9303.48,6634.09,1754.77
2023-06-15,lunch,321,3313.2,215390.28,24342.93,11621.07,7727.0,1734.24
2023-06-16,lunch,290,3142.9,198094.69,23258.97,10774.24,6805.38,1656.03
2023-06-19,lunch,296,2972.4,195530.71,22205.61,10777.87,6892.47,1586.08
2023-06-20,lunch,268,2782.66,192146.78,21701.3,9873.54,6985.67,1487.46
2023-06-21,lunch,263,2744.62,178490.93,20869.21,8959.06,6470.84,1340.82
2023-06-24,lunch,35,395.34000000000003,26374.260000000002,2779.61,1502.3600000000001,1017.6,181.94
2023-06-25,dinner,61,632.82,42425.23,5417.9,2066.55,1272.96,278.94
2023-06-25,lunch,320,3508.32,214260.38,25083.41,11482.06,7392.67,1757.01
2023-06-25,other,7,60.5,4010.2,486.87,206.3,133.1,29.81
2023-06-26,dinner,58,603.22,50412.65,5921.78,2391.28,1719.6,358.59
2023-06-26,lunch,367,3864.25,280782.62,30768.78,15073.56,10323.26,1946.07
2023-08-29,other,4,78.02,3442.4500000000003,376.31,243.49,98.02000000000001,53.18
2023-09-01,dinner,56,617.29,44022.51,4950.67,2487.68,1516.94,307.98
2023-09-01,lunch,234,2697.22,197977.98,24668.02,10325.45,6260.22,1566.88
2023-09-01,other,1,1.22,130.0,20.8,4.16,3.64,1.04
2023-09-02,dinner,103,1164.55,77724.72,10197.48,3901.31,2228.37,589.68
2023-09-02,lunch,292,3436.67,242571.25,28948.920000000002,12291.67,8109.01,2008.04
2023-09-03,dinner,65,772.38,53331.32,6339.29,2876.04,1766.11,469.83
2023-09-03,lunch,263,3070.31,215989.66,25327.14,11013.49,7619.86,1460.42
2023-09-04,dinner,82,834.79,61255.11,6486.65,3413.44,2320.2799999999997,375.62
2023-09-04,lunch,305,3360.74,225767.18,27130.16,11899.91,7302.12,1599.62
2023-09-05,dinner,83,836.35,57932.93,7177.01,2648.4,1922.09,408.03
2023-09-05,lunch,237,2625.91,167086.25,22108.91,8162.72,4807.42,1356.25
2023-09-06,lunch,354,4364.92,240745.72,27357.06,13539.01,7978.3,1597.22
2023-09-07,lunch,343,3637.13,237067.75,26939.01,12962.01,8238.2,1755.72
2023-09-08,lunch,305,3285.91,199660.06,25183.15,9861.35,6486.93,1695.2
2023-09-11,lunch,298,2923.25,197581.83,22148.94,10656.25,6997.7300000000005,1385.86
2023-09-12,lunch,300,3030.3,219023.54,25638.86,10990.09,7865.65,1833.87
2023-09-13,lunch,285,2964.04,186629.11,22389.57,9780.69,6206.41,1361.85
2023-09-14,lunch,213,2341.32,146140.07,17585.25,7572.97,4881.41,1254.2
2023-09-15,lunch,327,3383.9900000000002,217093.28,24843.45,11653.3,7616.09,1499.25
2023-09-15,other,1,0.28,10.0,0.4,0.6,0.72,0.04
2023-09-18,lunch,353,3491.54,235776.89,28755.82,11970.96,7801.01,2045.95
2023-09-19,lunch,329,3418.45,221686.72,27058.27,11884.64,7042.53,1604.29
2023-09-20,lunch,325,3291.68,227418.7,26157.01,11459.56,8075.88,1911.42
2023-09-21,lunch,319,3430.26,207867.2,24736.3,10901.66,6969.5,1666.09
2023-09-22,lunch,308,3217.87,217132.74,24596.12,11608.6,7721.31,1612.73
2023-09-25,lunch,345,3371.5,243650.0,28875.16,12833.73,8125.66,2047.29
2023-09-26,lunch,314,3210.79,222505.35,26244.16,11266.49,7627.85,1929.56
2023-09-27,lunch,312,3092.16,206828.17,25257.72,11269.17,6426.59,1846.72
2023-09-28,lunch,275,2783.96,186964.28,22118.9,9436.98,6455.09,1598.34
2023-10-07,lunch,316,3276.02,208881.48,25257.38,11420.31,6652.24,1801.51
2023-10-08,lunch,330,3320.9,230801.88,27376.94,12528.99,7796.36,1799.28
2023-10-09,lunch,338,3399.72,221682.05,26977.05,11322.94,7448.32,2024.02
2023-10-10,lunch,326,3446.22,219939.97,25445.87,12057.36,7493.03,1775.53
2023-10-11,lunch,286,3268.79,189287.97,22630.48,9975.210000000001,6350.95,1612.76
2023-10-12,lunch,321,3398.37,218817.8,25281.68,11636.74,7661.68,1933.7
2023-10-13,lunch,317,3597.65,230298.83,25981.55,12102.99,8317.02,1982.46
2023-10-16,lunch,325,3358.81,221630.13999999998,25160.79,12288.9,7841.9,1907.1299999999999
2023-10-17,lunch,297,3184.83,203474.09,23315.21,10989.21,7205.4,1728.11
2023-10-18,lunch,297,3244.53,202960.08,23390.95,11095.49,7025.89,1756.47
2023-10-19,lunch,321,3404.18,217630.75,24940.27,11638.52,7630.69,1884.96
2023-10-20,lunch,269,2934.7,191845.79,21291.72,10498.3,6858.05,1684.83
2023-10-23,lunch,276,3116.48,189779.3,22041.53,10540.76,6302.38,1392.76
2023-10-24,lunch,319,3784.36,236473.28,27277.89,12341.59,8303.15,2155.37
2023-10-25,lunch,317,3267.78,219794.46,26183.38,11156.9,7577.55,1823.46
2023-10-26,lunch,340,3386.03,217307.58000000002,26885.92,11697.32,6554.88,1804.23
2023-10-27,lunch,283,2881.03,192831.15,22358.88,9971.07,6756.93,1576.54
2023-10-30,lunch,333,3447.57,225726.24,26947.2,11999.89,7560.95,1862.63
2023-10-31,lunch,323,3515.6,218186.36000000002,26567.77,10718.84,7247.05,1805.0
2023-11-01,lunch,325,3193.73,216692.15,27726.62,11137.76,6633.04,1789.95
2023-11-02,lunch,297,3263.15,214164.5,24325.04,11839.210000000001,7399.62,1630.32
2023-11-03,lunch,305,3221.49,207730.03,24039.61,10886.53,7242.3,1714.37
2023-11-06,lunch,333,4167.14,242209.16,27483.44,12585.06,8658.01,1950.24
2023-11-07,lunch,315,3232.73,206091.03,24165.5,12050.2,6627.04,1661.34
2023-11-08,lunch,272,2681.45,184018.3,21634.25,9414.91,6508.92,1557.29
2023-11-09,lunch,268,2880.6,186747.53,21744.16,9532.46,6422.18,1317.41
2023-11-10,lunch,211,2466.82,153601.46,18989.4,7969.38,4832.04,1427.22
2023-11-13,lunch,327,3564.93,245676.72,28150.23,12907.83,8754.01,2019.13
2023-11-14,lunch,316,3756.8,223651.75,26197.68,11767.57,7757.89,1921.67
2023-11-15,lunch,349,4000.7400000000002,265245.73,29450.91,13801.83,9727.52,1974.49
2023-11-16,lunch,273,3093.16,211491.03,26229.27,10740.68,6916.74,1867.78
2023-11-17,lunch,291,3168.51,217245.72,25140.69,11023.3,7889.32,1824.85
2023-11-20,lunch,363,4021.38,238155.38,29386.24,12687.69,7361.86,1965.17
2023-11-21,lunch,327,3562.23,232288.0,25834.27,12809.46,8551.87,1804.83
2023-11-22,lunch,356,4159.64,251351.42,30218.07,12683.9,8591.04,2185.27
2023-11-23,lunch,344,3624.74,243365.07,28495.54,13137.26,8206.43,1972.97
2023-11-24,lunch,324,3566.82,241726.37,28239.85,12016.92,8735.61,2150.7
2023-11-27,lunch,350,3755.41,234423.46,29117.68,12270.19,7222.01,2107.2
2023-11-27,other,1,0.28,13.3,1.63,0.53,0.58,0.49
2023-11-28,lunch,339,3459.74,240891.04,29130.58,12248.54,8394.02,1943.63
2023-11-29,lunch,327,3467.02,225750.6,26708.03,11669.210000000001,7640.51,1753.91
2023-11-30,lunch,351,4160.94,260563.24,30255.45,13320.43,9275.47,2198.98
2023-12-01,lunch,320,3330.46,224433.54,27020.99,12094.97,7112.83,1759.3
2023-12-01,other,1,0.23,10.8,0.9,0.72,0.48,0.18
2023-12-04,lunch,299,3258.31,213309.69,24711.89,11334.4,7435.82,1866.97
2023-12-05,lunch,322,3673.48,237628.26,27881.47,12672.28,8158.49,1966.12
2023-12-06,lunch,365,3720.06,249967.17,29692.78,13087.62,8546.71,1880.14
2023-12-07,lunch,302,3546.72,221114.04,26034.63,11280.98,7780.49,1914.37
2023-12-08,lunch,301,3317.72,213116.13,25378.7,11440.71,7070.85,1629.81
2023-12-11,lunch,322,3304.05,222380.13,26448.34,11974.73,7123.56,1753.62
2023-12-12,lunch,335,3496.02,244838.96,28087.71,12643.42,8686.5,1975.77
2023-12-13,lunch,332,4073.89,258934.66,29889.98,14106.41,9115.45,1952.41
2023-12-14,lunch,315,3366.79,229978.58,27238.97,12133.18,7632.95,1828.71
2023-12-15,lunch,293,3222.18,215610.33,24144.18,11515.3,7885.1,1710.54
2023-12-18,lunch,252,2685.6,176989.85,22165.74,9137.4,5610.66,1637.14
2023-12-19,lunch,278,3294.15,202263.17,22830.36,10629.24,7400.12,1642.76
2023-12-20,lunch,272,2851.6,184268.62,22570.41,10060.24,5649.57,1520.29
2023-12-21,lunch,284,3125.05,222903.68,24947.55,11696.55,8293.93,1781.6
2023-12-22,lunch,236,2561.73,171770.3,21385.67,8740.51,5479.07,1505.29
2023-12-25,lunch,290,3412.06,210891.15,25129.96,11394.65,6957.34,1834.78
2023-12-26,lunch,283,3125.2,211033.4,24631.420000000002,11085.72,7302.57,1607.82
2023-12-27,lunch,336,3538.24,247373.1,27853.3,12589.66,8968.99,1814.77
2023-12-28,lunch,315,3588.31,231028.14,27188.87,11691.76,8061.31,1936.99
2023-12-29,lunch,255,2843.36,181304.18,20247.03,10102.08,6401.24,1421.49
2024-01-02,lunch,309,3450.72,223033.28,25952.09,12283.76,7351.04,1965.75
2024-01-03,lunch,311,3230.09,220184.17,25276.42,11687.87,8056.78,1785.91
2024-01-04,lunch,303,3217.44,194490.55,23176.68,10309.28,6414.52,1776.88
2024-01-05,lunch,260,2783.39,189237.14,22244.98,10179.4,6402.34,1704.73
2024-01-08,lunch,278,2818.52,194936.03,22607.11,10531.92,6712.64,1516.07
2024-01-09,lunch,284,2971.89,209922.13,24545.61,11024.6,7283.15,1787.04
2024-01-10,lunch,301,3327.4,215075.14,24393.53,11845.34,7341.58,1782.16
2024-01-11,lunch,295,3243.62,218815.37,25223.98,11121.11,7800.96,1704.65
2024-01-12,lunch,263,2844.55,185993.47,21806.56,10227.85,6434.51,1754.86
2024-01-15,lunch,265,2741.61,188763.98,21774.23,10120.0,6547.59,1615.38
2024-01-16,lunch,240,2470.87,155371.19,19378.92,8176.38,4923.34,1460.63
2024-01-17,lunch,233,2492.03,181815.79,19227.44,9638.78,7043.55,1433.42
2024-01-18,lunch,247,2601.56,165595.6,20400.08,8490.55,5260.01,1455.02
2024-01-19,lunch,274,2861.46,201713.13999999998,22940.91,10573.17,7337.42,1713.9
2024-01-20,dinner,38,393.99,25964.37,2544.96,1557.0,1047.1299999999999,183.89
2024-01-20,lunch,47,486.36,31639.99,3533.24,1622.03,1269.32,291.34
2024-01-21,dinner,15,206.21,12517.34,1312.96,754.13,435.75,86.59
2024-01-21,lunch,51,579.47,41209.020000000004,4737.03,2279.71,1342.75,266.51
2024-01-22,dinner,30,369.44,23899.43,2430.32,1551.13,818.19,160.75
2024-01-22,lunch,413,4719.77,269137.96,24640.52,16661.21,11411.24,2838.95
2024-01-22,other,4,23.29,1590.95,164.37,95.74,55.82,9.540000000000001
2024-01-23,dinner,39,449.67,32432.07,3419.27,1751.17,1310.82,240.48
2024-01-23,lunch,327,3475.19,237883.22,27753.45,12463.45,8207.65,1942.18
2024-01-24,dinner,24,283.28,18155.11,1906.8600000000001,992.75,676.65,97.83
2024-01-24,lunch,138,1479.66,105461.82,11439.71,5759.18,3845.96,771.96
2024-01-25,dinner,16,190.33,14881.7,1470.7,828.3299999999999,622.91,135.02
2024-01-25,lunch,89,945.26,65087.71,7611.76,3141.5099999999998,2375.61,667.53
2024-01-26,dinner,20,203.08,15508.25,1684.97,876.92,549.38,98.65
2024-01-26,lunch,112,1252.24,91668.6,10545.54,4538.59,3272.16,687.08
2024-01-27,dinner,12,134.59,8331.9,1054.94,400.51,270.78,62.230000000000004
2024-01-27,lunch,77,813.17,56521.82,5881.99,3235.81,2109.53,487.31
2024-01-28,dinner,13,213.29,13229.94,956.5699999999999,883.8,653.84,107.93
2024-01-28,lunch,46,451.08,30276.05,3306.2599999999998,1682.01,1081.23,210.23
2024-01-29,dinner,15,150.67,10320.6,1154.75,558.3,374.14,76.42999999999999
2024-01-29,lunch,74,745.51,53653.659999999996,6132.24,2779.38,1996.1299999999999,464.36
2024-01-30,dinner,17,198.69,15339.9,1608.97,812.0699999999999,602.19,152.52
2024-01-30,lunch,78,843.33,60597.08,6455.32,3232.49,2275.98,551.34
2024-01-31,dinner,17,154.10999999999999,9941.1,1088.83,591.17,333.90999999999997,78.97
2024-01-31,lunch,80,739.84,48512.88,6346.8,2510.34,1391.18,453.17
2024-02-01,dinner,8,74.78999999999999,5517.36,842.57,212.72,134.34,56.129999999999995
2024-02-01,lunch,63,631.23,43480.29,4943.57,2287.78,1553.27,332.4
2024-02-02,dinner,4,25.66,2094.5,328.82,84.02000000000001,49.120000000000005,24.21
2024-02-02,lunch,32,285.03000000000003,24583.0,2758.37,1264.98,937.18,205.83
2024-02-26,lunch,263,3264.27,183850.77,19795.68,10896.31,6541.21,1521.99
2024-02-27,lunch,280,3137.85,194018.88,22498.05,10274.63,6693.49,1685.38
2024-02-28,lunch,322,3405.38,233123.4,30021.88,11687.09,7145.5,1998.65
