dish_serial,dish_name,总销售重量g,总销售额,出现订单数,平均单价,热量总量,碳水总量,蛋白质总量,脂肪总量,膳食纤维总量,总销售重量kg,重量占比,销售额占比
26_54622133506150400,花菜,48316,1256.26,694,2.6,12079.0,2029.3,1207.71,96.66,1207.71,48.316,0.007801756961609982,0.008821598330984438
26_66575384572989440,虎皮蛋烧肉,27732,1246.52,438,4.497339246119734,69330.0,2773.2,4159.8,4991.76,277.32,27.732,0.004477985016544582,0.008753202960803274
26_53893152209244160,红烧肉,23958,1246.19,388,5.199757869249395,59895.0,1197.9,2395.8,4791.6,0.0,23.958,0.003868583766997515,0.008750885663866951
26_53531764332826624,香菇肉丝,24386,1165.65,357,4.784153005464481,36579.0,2438.6,2926.32,1707.02,487.72,24.386,0.0039376944545455135,0.008185324769165628
26_56427216719974400,椒盐带鱼,17802,1143.93,388,6.423846153846155,26703.0,890.1,3204.36,1246.14,0.0,17.802,0.0028745524760034127,0.008032804498084018
26_56076628970835968,青瓜付竹肉片,24548,1137.59,383,4.629198966408269,44186.4,3682.2,2945.7599999999998,1963.84,736.4399999999999,24.548,0.003963853172729568,0.007988284308458906
26_48828324339912704,卤肉,19207,1114.0,299,5.8,48017.5,960.35,3841.4,3457.26,192.07,19.207,0.0031014228405009297,0.007822632688071469
26_64050994539008000,葱油芋头/红烧萝卜,47267,1087.47,602,2.3023809523809526,85080.6,12100.35,1654.26,3875.79,2032.4,47.267,0.0076323711876897715,0.007636336058614974
26_52095537637363712,糖醋里脊,25058,1040.08,367,4.153387533875338,62645.0,5011.6,3758.7,2505.8,250.58,25.058,0.004046204692938631,0.007303558174335164
26_61143330393821184,木耳娃娃菜,43090,968.82,661,2.2413273001508296,10772.5,1723.6,430.9,0.0,430.9,43.09,0.006957896089820641,0.006803162478328008
26_47376794684362752,韭黄肉丝小炒,19844,961.8100000000001,353,4.8338983050847455,43656.8,1984.4,2976.6,2381.28,396.88,19.844,0.00320428150397774,0.0067539374737109695
26_49914653857419264,木耳莴笋,39904,945.02,699,2.3621813031161474,19952.0,4070.23,997.66,119.68,1117.29,39.904,0.006443441298867553,0.0066360362144356365
26_57153219285094400,宫保鸡丁,23980,941.4,385,3.9275193798449615,39806.8,1918.4,2877.6,2158.2,239.8,23.98,0.0038721361855163375,0.006610616169255369
26_61502544706408448,鸟蛋烧肉,17716,933.04,303,5.2703225806451615,56691.2,1417.28,4429.0,3897.52,177.16,17.716,0.0028606657490661985,0.006551911313535191
26_49912240417148928,韭黄肉丝/红烧大排,16268,904.43,250,5.56,56938.0,2440.2,4067.0,3253.6,325.36,16.268,0.002626852021100074,0.0063510086912679335
26_56074692599091200,西葫芦炒鸡蛋/肉末茄,29249,863.0,383,2.9500000000000006,81897.2,5849.8,5264.82,4387.35,877.47,29.249,0.004722940420774285,0.0060600825940805006
26_49184534943633408,包菜粉丝,45156,851.32,557,1.8984313725490196,40640.4,8128.08,903.12,451.56,903.12,45.156,0.007291500483451866,0.005978064326758531
26_49548530490150912,葱油炒鳊鱼,11761,839.78,162,7.14,17641.5,352.83,2116.98,940.88,0.0,11.761,0.001899090645448609,0.005897029155106515
26_60781465637621760,青椒水面筋,27557,838.59,524,3.071320754716981,33068.4,5511.4,1377.85,826.71,551.14,27.557,0.004449727141963041,0.005888672841911897
26_61503305590902784,胖干烧肉,16756,798.14,265,4.757677902621722,75402.0,2513.4,3351.2,5026.8,335.12,16.756,0.002705651122790315,0.005604628414414149
26_47374676875415552,木耳西兰花,25810,793.04,462,3.080872340425532,8775.4,1032.4,774.3,0.0,516.2,25.81,0.00416763281685474,0.00556881564358007
26_64758697263501312,香菇鸡块,14728,772.66,221,5.235135135135136,22092.0,1472.8,2209.2,1030.96,294.56,14.728,0.0023781827247825113,0.005425705002482317
26_51716651443425280,椒盐带鱼/油爆虾,11862,735.42,206,6.2,37958.4,1186.2,3321.36,2135.16,118.62,11.862,0.0019153994759213843,0.005164201554274254
26_48464571123503104,芹菜香干,28397,731.83,541,2.5768382352941175,27829.06,2271.76,1703.82,1419.85,567.94,28.397,0.004585364939954439,0.005138992172451834
26_53535331613544448,莴笋烧肉/千张节烧肉,14634,731.7,233,5.0,46828.8,1756.08,2634.12,3219.48,439.02,14.634,0.0023630042092929976,0.0051380792979011615
26_64407596181884928,葱油金针菇,23262,705.35,460,3.060455531453362,8141.7,1395.72,465.24,232.62,465.24,23.262,0.0037561981629474998,0.0049530466485917515
26_48818878670835712,虎皮尖椒/西葫芦炒蛋,27205,675.68,379,2.4791472868217053,76174.0,3264.6,4080.75,4896.9,816.15,27.205,0.0043928884456618834,0.004744700587680548
26_57523617168232448,蘑菇肉片,12218,665.95,154,5.45,14661.6,610.9,1832.7,488.71999999999997,244.35999999999999,12.218,0.001972884066498691,0.004676375438618667
26_51362407922143232,红烧子排,9884,665.43,147,6.527027027027027,24710.0,494.2,1976.8,1482.6,0.0,9.884,0.0015960047563654495,0.004672723940415976
26_54280018603413504,油麦菜,27773,663.4,490,2.3842105263157896,4165.95,583.39,388.93,111.2,333.23,27.773,0.004484605432875114,0.004658469053201626
26_47377396340494336,三色绿豆芽,36368,647.92,703,1.7803954802259887,16365.6,2473.07,1163.73,545.42,690.72,36.368,0.005872470758751383,0.004549766760552304
26_66572251184631808,花椒鸭,13371,630.72,211,4.7189252336448595,33427.5,668.55,2674.2,2005.65,133.71,13.371,0.0021590630915987886,0.004428986435386389
26_60419548653948928,西红柿炒蛋/葱油芋艿,25129,628.86,301,2.5,80412.8,6282.25,3769.35,4523.22,1005.16,25.129,0.004057669316340285,0.004415925307199842
26_54260617820901376,小青菜,37100,596.82,587,1.6090219224283304,5565.0,1001.78,556.44,74.27,408.13,37.1,0.005990669411286744,0.0041909368410186845
26_48825909251280896,酸辣土豆丝,39463,594.46,642,1.5081413210445467,30386.51,6708.71,789.26,39.67,710.32,39.463,0.0063722314549220695,0.004174364656868012
26_49909032047218688,红烧肉/香菇鸡肉,13495,580.37,174,4.3,43184.0,1349.5,3373.75,2699.0,269.9,13.495,0.0021790858141594233,0.004075423099798957
26_48459880079691776,椒盐带鱼/鸡排,8872,577.05,181,6.5,28390.4,1064.64,2218.0,1596.96,88.72,8.872,0.0014325935044996224,0.004052109688197164
26_54986325249626112,红烧萝卜/番茄炒鸡蛋,24884,572.35,276,2.3,69675.2,2986.08,3732.6,4479.12,746.52,24.884,0.004018108291926128,0.004019105762134385
26_49915420467138560,五香牛肉,4036,565.04,82,14.0,10090.0,80.72,1049.36,645.76,0.0,4.036,0.0006517073246348599,0.003967774123938871
26_57537182121988096,蒜苗香干肉丝,12313,563.92,240,4.580991735537189,34476.4,1477.56,2216.34,1846.95,369.39,12.313,0.001988224055557242,0.00395990935857923
26_52086867788697600,黄鱼,9714,558.71,139,5.75,9422.58,0.0,2020.44,116.64,0.0,9.714,0.0015685542496290952,0.003923324155433044
26_49182898133274624,鱼香杏鲍菇炒肉,12329,527.91,194,4.427449999999999,27123.8,2219.22,1849.35,1232.9,493.16,12.329,0.0019908076326618403,0.0037070431080429163
26_62231607637053440,素烧鹅,19373,524.57,323,2.7139318885448915,29059.5,3874.6,968.65,1162.38,387.46,19.373,0.0031282274529611347,0.003683589254202559
26_61873794888896512,长豆香干肉丝,12318,521.3100000000001,225,4.263716814159292,39417.6,1478.16,2217.24,2709.96,369.54,12.318,0.001989031423402429,0.003660697169316461
26_61866566047895552,肉沫茄子/西葫芦炒蛋,18617,521.29,227,2.8,52127.6,3723.4,3351.06,2792.55,744.68,18.617,0.0030061534347688764,0.0036605567270778954
26_67309879295086592,盐焗鸡,10824,520.67,95,4.714795918367347,21648.0,108.24,2706.0,1082.4,0.0,10.824,0.0017477899112605855,0.00365620301768238
26_61137457504194560,鱼香肉丝,11076,520.65,195,4.7,16614.0,1107.6,1329.12,886.08,110.76,11.076,0.0017884812506580047,0.0036560625754438153
26_48827102522380288,小黄鱼,8958,517.46,148,5.772972972972973,0.0,0.0,0.0,0.0,0.0,8.958,0.0014464802314368371,0.0036336620383926954
26_49917743172030464,虎皮包/油爆虾,8283,513.25,150,6.196078431372549,23192.4,828.3,2070.75,1242.45,165.66,8.283,0.0013374855723366065,0.003604098947174759
26_60420148368117760,葱油广东菜心,17812,510.5,275,2.86726618705036,21374.4,1709.89,623.35,1460.6,427.55,17.812,0.002876167211693787,0.003584788139372069
26_48825273109581824,大排/春卷,10041,502.05,133,5.0,28114.8,2510.25,1204.92,1506.15,200.82,10.041,0.001621356106704318,0.0035254512935783493
26_62228850888806400,雪菜蛋饺,13170,500.59,251,3.801185770750988,23706.0,1053.6,1580.4,1317.0,131.7,13.17,0.0021266069042222757,0.0035151990101631027
26_57153933495373824,香酥鸡排,8431,486.31,174,5.7708571428571425,23606.8,1264.65,1686.2,1264.65,84.31,8.431,0.0013613836605541386,0.0034149232518276805
26_66578080193449984,木耳花菜,19878,468.33,322,2.3697530864197534,5367.06,993.9,397.56,0.0,397.56,19.878,0.0032097716053250108,0.00328866567935773
26_56440171394109440,酱爆猪肝,9138,465.31,176,5.096045197740113,15077.7,456.9,1827.6,639.66,0.0,9.138,0.0014755454738635651,0.003267458901334412
26_49550117186965504,豆芽/木耳青菜,32343,462.65999999999997,456,1.43,25874.4,3881.16,1940.58,646.86,1293.72,32.343,0.005222539643375934,0.003248850304724547
26_64042191542161408,长江豆肉丝,10269,462.56,192,4.5,25672.5,1540.35,2053.8,1232.28,308.07,10.269,0.0016581720804448403,0.0032481480935317225
26_63683371284434944,青韭南瓜丝,19163,456.24,346,2.377670454545455,18779.74,2433.67,613.19,862.24,536.59,19.163,0.003094318003463285,0.003203768346145177
26_66221585450799104,酱肉,5790,453.79,131,7.843181818181818,17370.0,289.5,1158.0,1447.5,57.9,5.79,0.0009349319647264218,0.0031865641719209625
26_61503148149313536,香菇鸭块,8459,448.36,148,5.3,21147.5,676.72,1691.8,1268.85,169.18,8.459,0.0013659049204871852,0.00314843410415056
26_48463435717021696,蘑菇小炒肉,11247,438.71999999999997,181,3.9,13496.4,562.35,1124.7,787.29,224.94,11.247,0.0018160932309633966,0.0030807409451622213
26_53531764332826624,香菇肉丝/鸡排,8260,437.84,123,5.3,12390.0,826.0,991.2,578.2,165.2,8.26,0.0013337716802487467,0.0030745614866653607
26_62591473291497472,虎皮青椒/雪菜毛豆,16816,437.33,273,2.6,20179.2,2522.4,1008.96,840.8,672.64,16.816,0.0027153395369325577,0.0030709802095819526
26_56436730433245184,鱼香肉丝/蒜苗香干肉,9639,434.11,147,4.5,30844.8,1445.85,2409.75,1735.02,289.17,9.639,0.001556443731951292,0.0030483690091729853
26_57162148266250240,长江豆肉丝/香菇肉丝,9531,429.15,141,4.5,26686.8,2382.75,1715.58,1143.72,476.55,9.531,0.001539004586495255,0.0030135393340088605
26_48822604177477632,香酥鸭肉/椒盐虾,8283,422.49,156,5.1,37273.5,1656.6,2899.05,2070.75,165.66,8.283,0.0013374855723366065,0.00296677206856671
26_54981264637300736,蘑菇肉片/雪菜鱿鱼,7688,418.98,112,5.45,24601.6,1537.6,1922.0,1153.2,307.52,7.688,0.0012414087987593662,0.0029421244556985496
26_56798960022589440,白菜千张丝,15507,412.94,314,2.680379746835443,18608.4,1550.7,1240.56,775.35,465.21,15.507,0.002503970635062629,0.002899710899651914
26_53901957773004800,清烧南瓜/葱油芋头,17775,410.6,246,2.31,21330.0,3608.36,444.32,675.42,568.83,17.775,0.002870192689639404,0.002883279157739807
26_54983366281400320,千叶豆腐肉丝,9649,408.24,160,4.212732919254658,27017.2,1929.8,1736.82,1447.35,192.98,9.649,0.0015580584676416656,0.002866706973589135
26_52444681157611520,酥鱼/椒盐虾,6651,405.75,118,6.1,21283.2,798.12,1862.28,1197.18,133.02,6.651,0.0010739607076676047,0.0028492219148877904
26_49541748875202560,木耳南瓜/青瓜炒蛋,16908,399.3,240,2.3641975308641974,30434.4,2536.2,2028.96,1690.8,507.24,16.908,0.0027301951052839963,0.0028039292929505724
26_61871928213901312,青椒藕片,15552,398.7,366,2.563760217983651,11352.960000000001,2332.8,311.04,31.12,466.56,15.552,0.002511236945669311,0.002799716025793622
26_49555257134551040,鸡排/椒盐排骨,8610,397.85,135,4.62,30135.0,1291.5,2152.5,1722.0,172.2,8.61,0.0013902874294118293,0.0027937472306546088
26_49190051107704832,青椒水面筋/木耳西兰,13956,397.8,181,2.8500000000000005,16747.2,2093.4,1116.48,697.8,558.24,13.956,0.002253525129485655,0.002793396125058196
26_60778850765901824,板栗烧猪脚,7840,392.0,111,5.0,27440.0,1176.0,1568.0,1960.0,156.8,7.84,0.0012659527812530478,0.002752667875874341
26_51368186062442496,蘑菇肉片/椒盐虾,7101,390.84,120,5.5,22723.2,852.12,1988.28,1278.18,213.03,7.101,0.0011466238137344252,0.00274452222603757
26_49549292205117440,茄子长江豆/素烧鹅,13143,388.98,184,2.96,23657.4,2628.6,788.58,1314.3,657.15,13.143,0.0021222471178582664,0.0027314610978510234
26_54262206883303424,莴苣/藕片,15371,386.46999999999997,264,2.509375,6916.95,1429.56,230.65,30.76,322.82,15.371,0.0024820102296735456,0.0027138355969111134
26_61135445588840448,酥鱼,6411,384.42,142,6.00625,12822.0,320.55,1282.2,641.1,64.11,6.411,0.0010352070510986338,0.0026994402674581993
26_52091412858146816,盐水虾/卤肉,6294,377.64,98,6.0,20140.8,629.4,1573.5,1258.8,125.88,6.294,0.0010163146435212605,0.0026518303485846585
26_63684984489250816,水波蛋,28786,370.32,284,1.2825174825174823,41163.98,287.86,3742.18,2878.6,0.0,28.786,0.004648178158309979,0.002600428489269862
26_47373891743649792,酥鱼/红烧肉,6164,369.84,103,6.0,27738.0,924.6,1232.8,1849.2,123.28,6.164,0.0009953230795464014,0.0025970578755443014
26_52450328280436736,千叶豆腐肉丝/茭白肉,9213,368.52,134,4.0,29481.6,2303.25,1658.34,1381.95,276.39,9.213,0.0014876559915413686,0.00258778868779901
26_52089599958323200,豆芽/青菜,23471,368.08,421,1.5578403755868544,10327.24,1995.03,751.13,47.0,422.42,23.471,0.0037899461388763117,0.00258469895855058
26_53906769008791552,土豆丝/小青菜,22568,365.71,416,1.62,27081.6,3791.52,789.84,1173.44,541.57,22.568,0.003644135506035559,0.0025680565532806253
26_68755515173376000,茄子长江豆,13980,364.63,186,2.5900529100529104,16776.0,1789.41,629.1,866.79,601.07,13.98,0.002257400495142552,0.0025604726723981145
26_60804092892680192,鸡米花,6484,358.75,172,5.534104046242774,18998.12,1945.2,972.6,778.08,64.84,6.484,0.0010469946216383624,0.0025191826542599995
26_49548530490150912,葱油鳊鱼,4989,356.21,70,7.14,7483.5,149.67,898.02,399.12,0.0,4.989,0.0008055916359274816,0.002501346489962242
26_48465394704453632,口水鸡,8822,352.88,117,4.0,13233.0,264.66,1323.3,793.98,0.0,8.822,0.0014245198260477536,0.0024779628572411667
26_65134805129498624,西葫芦炒蛋,13128,352.2,179,2.6762569832402234,9189.6,393.84,656.4,525.12,131.28,13.128,0.0021198250143227054,0.002473187821129956
26_61140837161111552,茄子长豆/青椒素鸡,11777,341.59,154,2.9,21198.6,2355.4,1177.7,942.16,706.62,11.777,0.001901674222553207,0.0023986832135712145
26_60418731704193024,包菜油付/绿豆芽,20132,332.25,312,1.65,24158.4,2073.78,1046.88,1509.89,765.0,20.132,0.003250785891860505,0.0023330966881613515
26_60786976424595456,红烧萝卜,15698,322.87,193,2.0352331606217615,7849.0,1255.84,156.98,313.96,313.96,15.698,0.0025348120867487683,0.0022672292782743584
26_49547847724568576,茭白榨菜肉丝/杏鲍菇,8262,322.23,116,3.9,14871.6,991.4399999999999,1239.3,660.96,247.85999999999999,8.262,0.0013340946273868216,0.002262735126640278
26_47373257908817920,椒盐虾,5254,317.67,121,6.05040650406504,6304.8,157.62,945.72,262.7,0.0,5.254,0.0008483821317223869,0.002230714296247454
26_54622809690869760,千叶豆腐肉丝/韭黄肉,7278,316.52,120,4.35,20378.4,1455.6,1310.04,1091.7,218.34,7.278,0.0011752046354540412,0.0022226388675299653
26_61863997825224704,鸭血豆腐,13362,307.3,174,2.289772727272727,7349.1,133.62,1737.06,53.45,0.0,13.362,0.002157609829477452,0.0021578949955514924
26_61886943620894720,包菜油付,18504,305.4,254,1.65,22204.8,1776.42,647.61,1517.36,388.69,18.504,0.002987906921467653,0.0021445529828878155
26_56799404434264064,青椒面筋/西葫芦炒蛋,10503,304.62,149,2.9,29408.4,2100.6,1575.45,1890.54,315.09,10.503,0.0016959568955995869,0.00213907573558378
26_56798140795326464,虎皮青椒/茄子长豆,10482,303.96999999999997,132,2.9,18867.6,2096.4,628.92,1048.2,524.1,10.482,0.001692565950649802,0.0021345113628304167
26_56803989915832320,莴笋目鱼花,5217,302.61,87,5.8,6260.4,417.36,782.55,260.85,104.34,5.217,0.0008424076096680039,0.002124961290607996
26_51718413919326208,香菇鸡肉/鱼香肉丝,7488,299.52,110,4.0,20966.4,1347.84,1872.0,898.56,224.64,7.488,0.0012091140849518906,0.0021032629647497005
26_51726827219193856,芦笋牛柳/莴笋目鱼花,5668,294.72,99,5.2,18137.6,680.16,1587.04,1020.24,226.72,5.668,0.0009152321893038616,0.0020695568274940964
26_52093181633892352,鸡排/茭白肉丝,5874,293.7,104,5.0,18796.8,704.88,1644.72,1057.32,117.48,5.874,0.0009484957445255616,0.0020623942733272805
26_54623899152945152,丝瓜炒蛋/家常豆腐,11154,292.28000000000003,157,2.62,35692.8,1673.1,2007.72,2453.88,334.62,11.154,0.0018010761890429204,0.0020524228743891643
26_57522966333886464,西葫芦炒蛋/素鸡,10406,291.37,138,2.8,18730.8,832.48,1248.72,1040.6,208.12,10.406,0.0016802939594029612,0.002046032752534456
26_54621133047205888,萝卜丝带鱼,4797,287.82,78,6.0,5756.4,239.85,719.55,191.88,47.97,4.797,0.0007745887106723048,0.002021104255189165
26_60787252510461952,雪菜毛豆/西葫芦炒蛋,10354,284.93,159,2.75,18637.2,1035.4,1242.48,1035.4,310.62,10.354,0.0016718973338130175,0.0020008103517165205
26_49186373130915840,醋溜鱼/宫保鸡丁,10389,276.37,119,2.66,36361.5,2077.8,3116.7,1558.35,207.78,10.389,0.0016775489087293258,0.0019407010736106928
26_48461594572754944,土豆丝/包菜油付,18240,274.96,300,1.499672131147541,32832.0,3648.0,912.0,1824.0,547.2,18.24,0.002945277899241785,0.001930799895791859
26_62588017319219200,白菜油付,17410,274.08,215,1.5711009174311927,20892.0,1044.6,1392.8,1218.7,348.2,17.41,0.0028112548369407606,0.0019246204372949983
26_53537949731655680,大白菜/豆芽,16481,272.02,296,1.65,7416.45,1401.0,527.47,33.04,346.09000000000003,16.481,0.002661245891305036,0.0019101548867228014
26_54987069260435456,葱油芋头/莴笋丝,10005,270.18,158,2.7,12006.0,1580.71,350.06,520.34,340.12,10.005,0.0016155430582189723,0.00189723420077482
26_48461049501978624,茄子豆角,11735,269.92,139,2.3,2816.4,469.4,117.35,0.0,234.7,11.735,0.0018948923326536373,0.0018954084516734748
26_54263983317848064,虎皮尖椒/素烧鹅,9512,267.29,140,2.81,17121.6,951.2,760.96,1141.44,285.36,9.512,0.0015359365886835447,0.0018769402973021752
26_64049736054870016,雪菜山药,9719,265.92,154,2.7415584415584413,11662.8,1632.81,340.12,505.37,233.26,9.719,0.001569361617474282,0.0018673200039604715
26_70206708550602752,青椒土豆丝,19581,265.11,344,1.3870689655172412,12727.65,2545.53,391.62,195.81,391.62,19.581,0.0031618139553209095,0.0018616320932985883
26_49180432411004928,鸡米花/辣子鸡,5855,263.76,113,4.5,20492.5,878.25,1463.75,1171.0,117.1,5.855,0.0009454277467138514,0.0018521522421954494
26_49905814495956992,茄子长豆/虎皮青椒,10087,257.24,141,2.55,12104.4,1089.3799999999999,453.93,726.28,363.18,10.087,0.0016287838908800375,0.0018063680724232538
26_54258689338642432,椒盐虾，,3207,256.56,70,8.0,3848.4,96.21,577.26,160.35,0.0,3.207,0.000517845735902873,0.0018015930363120432
26_71654322479435776,虎皮尖椒/茄子长江豆,10145,253.85999999999999,128,2.5,18261.0,2029.0,608.7,1014.5,507.25,10.145,0.0016381493578842053,0.0017826333341057657
26_53900193216729088,西葫芦肉丝/茭白肉丝,6022,251.66,109,4.18,10839.6,722.64,903.3,481.76,180.66,6.022,0.0009723938327430937,0.001767184687863614
26_52452487331975168,莴苣,9618,250.1,162,2.6,1346.52,269.28,96.18,9.69,57.74,9.618,0.0015530527870015068,0.0017562301932555425
26_52466627144454144,土豆丝/青菜,15593,249.34,245,1.5942971887550201,18711.6,2619.66,545.7,810.8,467.79,15.593,0.002517857361999844,0.0017508933881900718
26_51367115072081920,西兰花/韭黄炒鸡蛋,9601,248.71,125,2.59,17281.8,768.08,1152.1200000000001,960.1,288.03000000000003,9.601,0.0015503077363278714,0.0017464694576752738
26_48824212403654656,酸辣藕丝/木耳莴笋,11826,248.46,171,2.1,14191.2,2199.66,532.19,378.49,685.85,11.826,0.0019095864274360386,0.0017447139296932113
26_49917049941659648,青菜/白菜油腐,16395,246.43,198,1.5,19674.0,983.7,1311.6,1147.65,491.85,16.395,0.002647359164367821,0.001730459042478862
26_54263125716897792,油豆腐/长江豆肉丝,8140,244.2,107,3.0,26048.0,1221.0,1465.2,1790.8,325.6,8.14,0.0013143948519642613,0.0017147997328788623
26_62227258533875712,红烧油片,10070,242.43,197,2.401010101010101,32224.0,1007.0,2517.5,2014.0,201.4,10.07,0.001626038840206402,0.0017023705947658585
26_49913839134838784,芹菜香干/青瓜凉皮,10449,242.42,149,2.32,18808.2,2612.25,835.92,626.94,417.96,10.449,0.0016872373228715685,0.0017023003736465758
26_48829126651547648,小炒,7085,240.89,111,3.4,10627.5,708.5,850.2,566.8,141.7,7.085,0.001144040236629827,0.0016915565423963519
26_51368982778875904,酱爆茄子/土豆洋葱,9616,240.67,128,2.5,17308.8,1952.07,432.71,980.8199999999999,365.42,9.616,0.0015527298398634321,0.0016900116777721368
26_54259811822473216,红烧茄子/椒盐土豆,8909,240.57,141,2.7,28508.8,3118.15,534.54,1603.62,445.45,8.909,0.0014385680265540054,0.0016893094665793116
26_60783536751382528,鱼香杏鲍菇肉丝,5178,240.1,99,4.648,11391.6,776.7,932.04,517.8,155.34,5.178,0.0008361101404755462,0.0016860090739730337
26_51366669880266752,虎皮尖椒/家常豆腐,8140,236.14000000000001,108,2.9,22792.0,1221.0,976.8,1465.2,244.2,8.14,0.0013143948519642613,0.0016582015107371605
26_48463756191207424,木耳花菜/青瓜炒蛋,11767,235.34,153,2.0,21180.6,1176.7,1412.04,1176.7,353.01,11.767,0.0019000594868628334,0.0016525838211945596
26_48821777136226304,千叶豆腐肉丝,7838,235.14,105,3.0,21946.4,1567.6,1410.84,1175.7,156.76,7.838,0.0012656298341149732,0.0016511793988089095
26_62592231093178368,盐菜黄豆芽,9798,232.98,195,2.3792929292929292,11757.6,1175.76,979.8,489.9,391.92,9.798,0.001582118029428235,0.0016360116370438876
26_62223311366656000,素鸡烧肉,5062,232.31,81,4.5964285714285715,7593.0,506.2,607.4399999999999,404.96,101.24,5.062,0.0008173792064672102,0.0016313068220519596
26_67306667880091648,番茄炒蛋/青韭南瓜丝,10518,231.36,130,2.2,29450.4,2629.5,1262.16,1577.7,420.71999999999997,10.518,0.0016983789991351476,0.0016246358157201214
26_47398890068119552,大白菜,15300,229.92,187,1.5,1989.0,367.29,229.5,15.3,153.0,15.3,0.002470545606271892,0.00161452397454344
26_51365959914622976,春卷/山药卷,5053,227.63,105,4.5,11116.6,1414.84,252.65,505.3,151.59,5.053,0.0008159259443458737,0.0015984433382277455
26_62590508530274304,西红柿炒蛋/红烧茄子,13348,227.5,144,1.8,42713.6,3737.44,1601.76,2402.64,533.92,13.348,0.002155349199510929,0.0015975304636770729
