indent_id,consume_time,consume_way,consume_money,payment_status,wallet_id,card_serial,user_phone_number,qr_code,is_upload,reduction_money,reduction_contant,calories,carbohydrates,protein,fat,fiber,_source_sheet,date,hour,weekday,month,meal_period
76,2022-09-02 11:11:40,3,13.5,1,,,,,0,0,无,838.62,85.6,47.38,31.74,12.3,indent_1,2022-09-02,11,4,9,lunch
77,2022-09-02 11:12:02,3,12.31,1,,,,,0,0,无,1206.6,166.4,46.58,33.13,7.52,indent_1,2022-09-02,11,4,9,lunch
78,2022-09-02 11:12:58,3,2.55,1,,,,,0,0,无,299.48,48.01,10.94,6.48,3.52,indent_1,2022-09-02,11,4,9,lunch
79,2022-09-02 11:13:06,3,9.91,1,,,,,0,0,无,605.7,82.92,32.31,15.07,7.22,indent_1,2022-09-02,11,4,9,lunch
80,2022-09-02 11:13:10,3,7.94,1,,,,,0,0,无,548.8,62.13,31.75,18.6,6.11,indent_1,2022-09-02,11,4,9,lunch
81,2022-09-02 11:13:17,3,8.56,1,,,,,0,0,无,904.1,114.43,40.87,28.23,7.4,indent_1,2022-09-02,11,4,9,lunch
82,2022-09-02 11:13:26,3,6.48,1,,,,,0,0,无,593.75,56.94,29.1,25.31,5.15,indent_1,2022-09-02,11,4,9,lunch
83,2022-09-02 11:13:38,3,7.84,1,,,,,0,0,无,700.94,79.7,39.08,24.41,8.41,indent_1,2022-09-02,11,4,9,lunch
84,2022-09-02 11:13:42,3,13.64,1,,,,,0,0,无,769.52,88.51,48.46,23.33,4.37,indent_1,2022-09-02,11,4,9,lunch
85,2022-09-02 11:13:59,3,5.03,1,,,,,0,0,无,221.3,20.08,11.91,9.82,6.42,indent_1,2022-09-02,11,4,9,lunch
86,2022-09-02 11:14:20,3,13.82,1,,,,,0,0,无,703.7,78.88,43.31,23.0,9.52,indent_1,2022-09-02,11,4,9,lunch
87,2022-09-02 11:14:39,3,8.78,1,,,,,0,0,无,766.08,104.59,38.89,20.98,7.83,indent_1,2022-09-02,11,4,9,lunch
88,2022-09-02 11:14:46,3,11.23,1,,,,,0,0,无,747.62,76.52,48.92,25.67,8.76,indent_1,2022-09-02,11,4,9,lunch
89,2022-09-02 11:15:01,3,7.45,1,,,,,0,0,无,279.9,22.05,17.76,12.0,6.81,indent_1,2022-09-02,11,4,9,lunch
90,2022-09-02 11:15:02,3,7.56,1,,,,,0,0,无,330.02,48.24,19.35,6.78,5.29,indent_1,2022-09-02,11,4,9,lunch
91,2022-09-02 11:15:11,3,6.45,1,,,,,0,0,无,359.15,42.72,21.21,11.61,2.98,indent_1,2022-09-02,11,4,9,lunch
92,2022-09-02 11:15:21,3,5.57,1,,,,,0,0,无,154.55,12.3,13.97,5.92,3.7,indent_1,2022-09-02,11,4,9,lunch
93,2022-09-02 11:15:27,3,5.21,1,,,,,0,0,无,446.22,58.17,22.55,13.58,5.51,indent_1,2022-09-02,11,4,9,lunch
94,2022-09-02 11:15:35,3,7.93,1,,,,,0,0,无,412.37,51.91,23.07,12.02,4.59,indent_1,2022-09-02,11,4,9,lunch
95,2022-09-02 11:15:36,3,11.84,1,,,,,0,0,无,707.32,76.49,48.03,22.82,6.98,indent_1,2022-09-02,11,4,9,lunch
96,2022-09-02 11:15:47,3,4.53,1,,,,,0,0,无,434.8,57.1,18.1,13.36,3.47,indent_1,2022-09-02,11,4,9,lunch
97,2022-09-02 11:15:48,3,5.39,1,,,,,0,0,无,302.23,41.45,18.74,7.28,2.41,indent_1,2022-09-02,11,4,9,lunch
98,2022-09-02 11:15:58,3,5.99,1,,,,,0,0,无,352.33,58.14,16.77,5.48,3.6,indent_1,2022-09-02,11,4,9,lunch
99,2022-09-02 11:15:59,3,11.1,1,,,,,0,0,无,842.34,84.16,37.2,34.42,7.03,indent_1,2022-09-02,11,4,9,lunch
100,2022-09-02 11:16:11,3,5.45,1,,,,,0,0,无,573.38,75.42,30.51,16.39,4.73,indent_1,2022-09-02,11,4,9,lunch
101,2022-09-02 11:16:13,3,7.13,1,,,,,0,0,无,503.5,85.58,23.26,7.29,3.31,indent_1,2022-09-02,11,4,9,lunch
102,2022-09-02 11:16:47,3,10.51,1,,,,,0,0,无,715.8,88.21,43.92,20.84,5.92,indent_1,2022-09-02,11,4,9,lunch
103,2022-09-02 11:16:59,3,23.35,1,,,,,0,0,无,1738.5,212.56,99.03,54.07,18.05,indent_1,2022-09-02,11,4,9,lunch
104,2022-09-02 11:17:06,3,10.41,1,,,,,0,0,无,947.75,91.89,60.95,37.04,7.91,indent_1,2022-09-02,11,4,9,lunch
105,2022-09-02 11:17:22,3,10.34,1,,,,,0,0,无,911.8,92.08,37.58,38.39,7.13,indent_1,2022-09-02,11,4,9,lunch
106,2022-09-02 11:17:39,3,13.86,1,,,,,0,0,无,950.06,87.4,43.1,41.59,9.74,indent_1,2022-09-02,11,4,9,lunch
107,2022-09-02 11:17:54,3,7.41,1,,,,,0,0,无,471.84,44.73,33.05,17.99,3.84,indent_1,2022-09-02,11,4,9,lunch
108,2022-09-02 11:18:06,3,10.02,1,,,,,0,0,无,690.5,96.81,36.54,17.83,6.24,indent_1,2022-09-02,11,4,9,lunch
109,2022-09-02 11:18:17,3,10.66,1,,,,,0,0,无,680.15,85.2,39.79,20.04,7.26,indent_1,2022-09-02,11,4,9,lunch
110,2022-09-02 11:18:31,3,11.43,1,,,,,0,0,无,769.65,87.38,38.88,26.84,5.16,indent_1,2022-09-02,11,4,9,lunch
111,2022-09-02 11:18:42,3,21.92,1,,,,,0,0,无,1992.5,165.74,97.8,92.94,11.01,indent_1,2022-09-02,11,4,9,lunch
112,2022-09-02 11:18:49,3,14.14,1,,,,,0,0,无,1006.36,92.54,46.52,44.52,7.42,indent_1,2022-09-02,11,4,9,lunch
113,2022-09-02 11:19:03,3,6.82,1,,,,,0,0,无,614.62,64.31,25.21,24.68,3.93,indent_1,2022-09-02,11,4,9,lunch
114,2022-09-02 11:19:09,3,10.72,1,,,,,0,0,无,555.98,29.82,32.67,31.93,6.51,indent_1,2022-09-02,11,4,9,lunch
115,2022-09-02 11:19:14,3,9.82,1,,,,,0,0,无,731.56,84.6,33.4,25.37,6.5,indent_1,2022-09-02,11,4,9,lunch
116,2022-09-02 11:19:19,3,9.72,1,,,,,0,0,无,882.61,117.55,37.69,26.36,9.2,indent_1,2022-09-02,11,4,9,lunch
117,2022-09-02 11:19:24,3,3.59,1,,,,,0,0,无,431.9,71.28,13.97,9.51,4.07,indent_1,2022-09-02,11,4,9,lunch
118,2022-09-02 11:19:28,3,11.76,1,,,,,0,0,无,764.6,101.25,39.87,19.68,5.95,indent_1,2022-09-02,11,4,9,lunch
119,2022-09-02 11:19:35,3,3.77,1,,,,,0,0,无,422.3,65.22,13.83,10.62,4.22,indent_1,2022-09-02,11,4,9,lunch
120,2022-09-02 11:19:44,3,6.34,1,,,,,0,0,无,495.17,46.73,31.11,19.72,4.19,indent_1,2022-09-02,11,4,9,lunch
121,2022-09-02 11:19:46,3,15.86,1,,,,,0,0,无,578.27,35.85,49.39,26.44,10.08,indent_1,2022-09-02,11,4,9,lunch
122,2022-09-02 11:19:54,3,6.29,1,,,,,0,0,无,309.05,34.96,18.52,10.2,4.78,indent_1,2022-09-02,11,4,9,lunch
123,2022-09-02 11:20:05,3,11.09,1,,,,,0,0,无,567.15,60.07,32.65,20.71,7.89,indent_1,2022-09-02,11,4,9,lunch
124,2022-09-02 11:20:18,3,8.57,1,,,,,0,0,无,617.48,70.82,35.2,20.2,8.46,indent_1,2022-09-02,11,4,9,lunch
125,2022-09-02 11:20:50,3,3.93,1,,,,,0,0,无,286.18,38.84,13.65,7.37,2.59,indent_1,2022-09-02,11,4,9,lunch
126,2022-09-02 11:20:52,3,11.22,1,,,,,0,0,无,678.22,75.98,32.5,24.05,6.45,indent_1,2022-09-02,11,4,9,lunch
127,2022-09-02 11:20:55,3,6.4,1,,,,,0,0,无,444.58,59.42,20.76,13.46,5.55,indent_1,2022-09-02,11,4,9,lunch
128,2022-09-02 11:21:06,3,4.85,1,,,,,0,0,无,346.25,45.25,14.73,10.91,4.59,indent_1,2022-09-02,11,4,9,lunch
129,2022-09-02 11:21:11,3,11.45,1,,,,,0,0,无,1019.92,127.94,52.55,31.24,12.84,indent_1,2022-09-02,11,4,9,lunch
130,2022-09-02 11:21:17,3,7.55,1,,,,,0,0,无,533.44,53.44,24.71,21.87,6.59,indent_1,2022-09-02,11,4,9,lunch
131,2022-09-02 11:21:28,3,8.53,1,,,,,0,0,无,803.3,95.89,29.44,29.5,7.13,indent_1,2022-09-02,11,4,9,lunch
132,2022-09-02 11:21:38,3,7.41,1,,,,,0,0,无,485.05,61.72,23.39,14.9,6.03,indent_1,2022-09-02,11,4,9,lunch
133,2022-09-02 11:21:47,3,5.33,1,,,,,0,0,无,154.84,14.1,8.65,6.54,4.16,indent_1,2022-09-02,11,4,9,lunch
134,2022-09-02 11:21:51,3,11.31,1,,,,,0,0,无,737.93,59.9,40.56,34.58,7.82,indent_1,2022-09-02,11,4,9,lunch
135,2022-09-02 11:22:04,3,6.61,1,,,,,0,0,无,462.52,53.79,21.04,16.46,6.56,indent_1,2022-09-02,11,4,9,lunch
136,2022-09-02 11:22:21,3,8.57,1,,,,,0,0,无,651.15,88.16,38.8,16.53,4.65,indent_1,2022-09-02,11,4,9,lunch
137,2022-09-02 11:22:25,3,8.36,1,,,,,0,0,无,799.5,112.56,29.47,22.48,5.58,indent_1,2022-09-02,11,4,9,lunch
138,2022-09-02 11:22:39,3,10.1,1,,,,,0,0,无,871.45,93.85,48.0,31.88,6.52,indent_1,2022-09-02,11,4,9,lunch
139,2022-09-02 11:22:44,3,7.11,1,,,,,0,0,无,698.91,89.68,36.02,21.47,7.19,indent_1,2022-09-02,11,4,9,lunch
140,2022-09-02 11:22:49,3,4.97,1,,,,,0,0,无,449.5,63.02,21.98,11.72,4.74,indent_1,2022-09-02,11,4,9,lunch
141,2022-09-02 11:22:55,3,8.33,1,,,,,0,0,无,674.6,69.43,40.35,25.22,6.76,indent_1,2022-09-02,11,4,9,lunch
142,2022-09-02 11:23:03,3,6.9,1,,,,,0,0,无,510.05,61.47,29.83,15.64,4.51,indent_1,2022-09-02,11,4,9,lunch
143,2022-09-02 11:23:13,3,13.21,1,,,,,0,0,无,1248.44,165.7,54.05,36.03,6.0,indent_1,2022-09-02,11,4,9,lunch
144,2022-09-02 11:23:27,3,6.2,1,,,,,0,0,无,367.94,51.2,19.99,9.15,3.56,indent_1,2022-09-02,11,4,9,lunch
145,2022-09-02 11:23:35,3,8.44,1,,,,,0,0,无,701.6,70.98,35.98,28.37,5.29,indent_1,2022-09-02,11,4,9,lunch
146,2022-09-02 11:23:37,3,6.99,1,,,,,0,0,无,368.27,49.16,20.33,9.53,5.1,indent_1,2022-09-02,11,4,9,lunch
147,2022-09-02 11:23:50,3,13.07,1,,,,,0,0,无,940.34,84.76,47.5,41.52,6.95,indent_1,2022-09-02,11,4,9,lunch
148,2022-09-02 11:23:59,3,5.78,1,,,,,0,0,无,349.27,43.97,18.04,10.5,2.8,indent_1,2022-09-02,11,4,9,lunch
149,2022-09-02 11:24:02,3,12.94,1,,,,,0,0,无,1302.35,136.34,52.73,53.79,9.59,indent_1,2022-09-02,11,4,9,lunch
150,2022-09-02 11:24:12,3,8.09,1,,,,,0,0,无,814.52,126.91,32.17,17.48,5.46,indent_1,2022-09-02,11,4,9,lunch
151,2022-09-02 11:24:27,3,15.3,1,,,,,0,0,无,1343.3,120.08,61.03,61.38,9.39,indent_1,2022-09-02,11,4,9,lunch
152,2022-09-02 11:24:40,3,7.9,1,,,,,0,0,无,482.8,26.65,32.86,26.32,6.69,indent_1,2022-09-02,11,4,9,lunch
153,2022-09-02 11:24:56,3,12.43,1,,,,,0,0,无,588.08,61.65,37.75,19.09,4.49,indent_1,2022-09-02,11,4,9,lunch
154,2022-09-02 11:25:07,3,6.83,1,,,,,0,0,无,541.4,60.29,30.73,19.45,6.16,indent_1,2022-09-02,11,4,9,lunch
155,2022-09-02 11:25:16,3,5.11,1,,,,,0,0,无,461.9,80.56,15.84,7.69,9.66,indent_1,2022-09-02,11,4,9,lunch
156,2022-09-02 11:25:30,3,5.12,1,,,,,0,0,无,360.15,62.39,18.23,4.51,1.89,indent_1,2022-09-02,11,4,9,lunch
157,2022-09-02 11:25:44,3,13.52,1,,,,,0,0,无,981.48,76.7,43.72,49.22,7.14,indent_1,2022-09-02,11,4,9,lunch
158,2022-09-02 11:25:54,3,8.88,1,,,,,0,0,无,825.05,97.38,43.54,27.89,8.26,indent_1,2022-09-02,11,4,9,lunch
159,2022-09-02 11:26:03,3,7.25,1,,,,,0,0,无,652.45,83.85,22.88,21.84,6.41,indent_1,2022-09-02,11,4,9,lunch
160,2022-09-02 11:26:21,3,5.65,1,,,,,0,0,无,549.52,81.89,25.09,12.1,5.67,indent_1,2022-09-02,11,4,9,lunch
161,2022-09-02 11:26:26,3,9.53,1,,,,,0,0,无,699.34,56.45,29.01,34.16,6.32,indent_1,2022-09-02,11,4,9,lunch
162,2022-09-02 11:26:29,3,5.21,1,,,,,0,0,无,469.3,54.59,25.85,16.46,5.78,indent_1,2022-09-02,11,4,9,lunch
163,2022-09-02 11:26:39,3,4.46,1,,,,,0,0,无,346.75,35.99,14.37,14.55,2.67,indent_1,2022-09-02,11,4,9,lunch
164,2022-09-02 11:26:49,3,11.28,1,,,,,0,0,无,645.25,69.22,37.4,23.57,11.09,indent_1,2022-09-02,11,4,9,lunch
165,2022-09-02 11:26:52,3,6.26,1,,,,,0,0,无,462.55,64.03,19.38,12.6,3.43,indent_1,2022-09-02,11,4,9,lunch
166,2022-09-02 11:27:05,3,5.31,1,,,,,0,0,无,340.0,41.53,16.26,11.68,5.08,indent_1,2022-09-02,11,4,9,lunch
167,2022-09-02 11:27:09,3,8.96,1,,,,,0,0,无,826.25,70.44,36.15,39.73,5.39,indent_1,2022-09-02,11,4,9,lunch
168,2022-09-02 11:27:18,3,7.21,1,,,,,0,0,无,614.94,91.01,24.55,14.3,5.39,indent_1,2022-09-02,11,4,9,lunch
169,2022-09-02 11:27:29,3,8.16,1,,,,,0,0,无,644.39,76.92,32.71,21.31,5.43,indent_1,2022-09-02,11,4,9,lunch
170,2022-09-02 11:27:39,3,7.07,1,,,,,0,0,无,398.55,41.11,21.56,15.09,3.31,indent_1,2022-09-02,11,4,9,lunch
171,2022-09-02 11:27:46,3,8.42,1,,,,,0,0,无,791.3,96.02,30.8,27.21,6.4,indent_1,2022-09-02,11,4,9,lunch
172,2022-09-02 11:28:08,3,8.76,1,,,,,0,0,无,349.94,51.78,21.78,5.73,3.43,indent_1,2022-09-02,11,4,9,lunch
173,2022-09-02 11:28:27,3,6.53,1,,,,,0,0,无,761.65,113.76,24.87,19.99,6.27,indent_1,2022-09-02,11,4,9,lunch
174,2022-09-02 11:28:41,3,7.84,1,,,,,0,0,无,1362.13,242.54,44.47,20.41,9.8,indent_1,2022-09-02,11,4,9,lunch
175,2022-09-02 11:28:46,3,10.61,1,,,,,0,0,无,569.2,58.05,32.39,21.48,6.1,indent_1,2022-09-02,11,4,9,lunch
176,2022-09-02 11:28:51,3,8.51,1,,,,,0,0,无,1252.94,195.69,40.9,29.42,7.37,indent_1,2022-09-02,11,4,9,lunch
177,2022-09-02 11:28:57,3,8.27,1,,,,,0,0,无,491.54,58.96,25.97,15.19,5.78,indent_1,2022-09-02,11,4,9,lunch
178,2022-09-02 11:29:06,3,7.83,1,,,,,0,0,无,365.92,45.03,21.66,9.95,5.54,indent_1,2022-09-02,11,4,9,lunch
179,2022-09-02 11:29:12,3,12.52,1,,,,,0,0,无,988.53,101.77,41.14,40.19,7.36,indent_1,2022-09-02,11,4,9,lunch
180,2022-09-02 11:29:15,3,5.23,1,,,,,0,0,无,509.4,66.48,18.17,16.47,6.08,indent_1,2022-09-02,11,4,9,lunch
181,2022-09-02 11:29:22,2,6.86,1,,,,,0,14,无,1609.55,99.85,69.99,90.49,9.19,indent_1,2022-09-02,11,4,9,lunch
182,2022-09-02 11:29:52,3,8.52,1,,,,,0,0,无,770.76,99.02,31.36,24.39,5.14,indent_1,2022-09-02,11,4,9,lunch
183,2022-09-02 11:29:57,3,7.73,1,,,,,0,0,无,804.24,103.74,42.27,23.51,8.49,indent_1,2022-09-02,11,4,9,lunch
184,2022-09-02 11:30:01,3,8.45,1,,,,,0,0,无,780.05,106.56,37.6,21.27,8.22,indent_1,2022-09-02,11,4,9,lunch
