date,就餐人数,销售总额,热量需求,碳水需求,蛋白质需求,脂肪需求,膳食纤维需求
2022-10-17,301,3130.04,213204.98,23742.17,11151.92,7955.09,1640.72
2022-10-18,305,3370.7,239401.35,27039.69,13074.08,8787.47,1717.05
2022-10-19,260,2981.13,234847.75,24092.329999999998,12248.39,9477.1,1840.55
2022-10-20,269,2985.58,192628.91,23358.95,10609.2,6264.69,1765.9
2022-10-21,245,2637.69,162587.41,19537.57,7744.81,5650.38,1387.24
2022-10-24,268,3054.78,221282.92,23923.52,11703.69,8517.63,1732.81
2022-10-25,277,3011.71,219786.13,24063.1,11132.960000000001,8683.54,1982.63
2022-10-26,259,2875.01,192589.41,21179.05,11060.92,6928.89,1550.82
2022-10-27,290,3318.33,212954.81,24355.72,11108.49,7648.55,1735.42
2022-10-28,238,2617.29,193722.71,22743.67,10366.94,6708.88,1546.12
2022-10-31,288,3451.4,238864.73,26591.34,12894.0,8765.1,2099.35
2022-11-01,276,2900.01,198578.64,22774.87,10356.61,7316.26,1710.28
2022-11-02,244,2623.57,182386.1,19695.19,10139.01,6757.88,1238.57
2022-11-03,279,3003.0,196670.63,23579.28,10085.1,6633.26,1748.29
2022-11-04,264,2850.96,222035.71,23906.14,11599.56,8566.93,1701.8799999999999
2022-11-08,265,2647.58,214452.27,24117.76,10493.960000000001,8215.35,2066.79
2022-11-09,233,2482.23,160280.53,18110.34,9229.83,5567.96,1046.05
2022-11-10,276,3037.8,226665.59,26041.16,11495.34,8182.98,1776.98
2022-11-11,281,3391.16,216512.06,21675.82,12639.79,8565.57,1662.77
2022-11-14,282,2969.99,225033.82,24582.64,11774.11,8619.83,1874.11
2022-11-15,248,2632.88,192598.73,20932.19,10395.43,7604.33,1964.77
2022-11-16,267,3018.69,182714.17,20078.84,11018.47,6383.91,1373.65
2022-11-17,303,3572.81,239590.28,26584.97,12464.35,9121.44,1757.75
2022-11-18,252,2787.97,199637.91,22924.53,10649.37,6926.53,1482.56
2022-11-21,261,2909.01,186646.06,20876.71,10126.78,6801.6,1391.42
2022-11-22,272,2977.77,229383.16,24194.26,12171.45,9098.45,1985.15
2022-11-23,257,3101.94,205745.39,24256.98,9838.93,7475.97,1836.49
2022-11-24,288,3039.84,199562.06,23013.31,11187.84,6827.72,1599.1
2022-11-25,282,2989.31,240900.04,26311.77,12240.47,9103.91,2026.36
2022-11-28,274,2866.12,208507.37,24510.95,10051.47,7589.17,1766.36
2022-11-29,256,2719.54,211081.75,23027.12,11096.72,8257.5,1942.46
2022-11-30,260,3004.59,193107.98,20717.01,11008.35,6894.5,1303.04
2022-12-01,284,3674.13,213413.24,24881.06,11304.92,7706.92,2006.75
2022-12-02,254,2849.12,222941.91,24133.75,11243.72,8664.25,1665.25
2022-12-05,266,3159.86,198124.02,20213.06,12294.45,7210.44,1343.95
2022-12-06,291,2947.97,229116.89,27524.31,11247.43,8161.36,2072.04
2022-12-07,296,3235.1,203735.64,22995.27,10783.24,7461.45,1721.55
2022-12-08,316,3303.38,240778.64,27838.0,13266.15,8021.17,2002.17
2022-12-09,311,3336.45,246111.22,26971.2,12956.41,9339.91,1860.69
2022-12-12,278,2988.81,200164.67,22678.13,10919.59,6986.87,1609.23
2022-12-13,281,3006.63,177919.99,22339.01,9084.81,5711.91,1459.05
2022-12-14,246,2771.66,193196.53,21126.61,10762.74,7003.0,1345.35
2022-12-15,323,3542.55,236208.7,27016.79,12452.11,8242.01,1869.12
2022-12-16,231,2784.73,170759.42,19290.16,9697.05,6217.48,1445.31
2022-12-17,164,2404.75,151720.34,14944.39,8436.59,6128.29,1040.77
2022-12-18,28,422.82,26164.86,2167.88,1619.21,1121.31,164.09
2022-12-19,132,1766.09,105481.12,11554.9,5327.88,4041.24,738.85
2022-12-20,124,1454.06,92268.63,11758.11,4879.32,2861.78,696.9
2023-02-07,1,8.78,5185.7,1124.9,107.7,11.97,15.96
2023-02-08,1,91.32,2075.5,423.4,103.78,12.45,116.23
2023-02-09,328,3647.23,228635.33,25294.81,12934.77,7999.42,1617.56
2023-02-10,390,3817.09,269245.87,31129.35,13525.78,9437.24,1955.34
2023-02-13,279,2935.09,184705.05,21652.77,10337.95,6147.01,1484.88
2023-02-14,249,2598.67,189637.6,21859.59,9843.91,6832.04,1444.73
2023-02-15,301,3242.13,214022.93,24203.4,12191.5,7223.4,1638.51
2023-02-16,312,3315.88,210864.86,25409.91,11017.03,6922.11,1529.55
2023-02-17,301,3233.56,228027.58,25009.34,12448.74,8529.59,1728.71
2023-02-20,268,2892.24,195472.42,23435.87,10183.41,6340.82,1418.32
2023-02-21,283,2981.31,205127.7,25371.84,10132.47,6798.43,1641.2
2023-02-22,283,3175.76,207089.88,22966.4,11676.53,7657.89,1616.98
2023-02-23,300,3131.25,205777.87,23715.74,11951.1,6847.99,1871.04
2023-02-24,239,2710.19,168985.96,20295.72,8533.07,5862.01,1329.72
2023-02-27,247,3030.34,199724.61,21096.329999999998,11438.53,7443.76,1466.57
2023-02-28,245,2660.72,158195.51,18747.84,8422.13,5333.29,1401.23
2023-03-01,274,3109.71,192570.58,21322.91,11086.44,6735.66,1540.49
2023-03-02,288,3294.24,212849.13,26537.0,10756.29,6955.42,1883.29
2023-03-03,237,2759.29,162789.49,18908.98,9095.3,5388.53,1301.25
2023-03-06,256,2832.78,176034.22,20474.61,9695.83,5783.98,1264.44
2023-03-07,295,3258.8,200436.78,25105.02,10523.4,6352.38,1731.6299999999999
2023-03-08,245,2981.75,173938.19,19564.11,9750.81,6240.21,1531.58
2023-03-09,259,3458.46,196545.3,20195.49,11410.24,7484.59,1487.8
2023-03-10,227,2407.42,161145.85,20562.58,8006.03,5000.05,1530.84
2023-03-13,287,3375.77,193271.99,23508.05,10298.51,6207.61,1465.79
2023-03-14,286,3109.67,201675.84,24349.62,9785.88,6964.79,1685.7
2023-03-15,264,2812.98,193314.26,21283.0,10971.81,7004.01,1481.41
2023-03-16,272,3239.12,193693.23,23251.94,10285.15,6573.39,2018.7
2023-03-17,228,2762.08,175350.97,18621.98,8911.16,6830.25,1082.71
2023-03-20,250,2899.97,182850.36000000002,21920.19,9439.69,6144.8,1578.8
2023-03-21,252,2852.81,165363.94,21348.73,8875.29,4674.74,1371.69
2023-03-22,284,2947.07,209192.92,22415.86,11710.12,7861.35,1473.03
2023-03-23,279,3090.51,198376.97,23846.32,10221.38,6621.25,1473.93
2023-03-24,257,2875.35,216605.77,24635.18,10321.56,7908.55,1895.28
2023-03-27,274,2984.54,186135.62,21701.27,10403.54,6028.9,1330.43
2023-03-28,283,3074.59,224509.9,27785.61,10690.83,7715.05,2065.86
2023-03-29,279,3033.47,191115.12,21971.91,10386.33,6554.87,1549.86
2023-03-30,262,2817.18,184181.77,21843.22,9673.91,6356.95,1495.68
2023-03-31,230,2721.45,186073.44,21722.31,9262.02,6606.14,1473.0
2023-04-03,269,3013.97,178824.66,20329.2,10384.67,5958.5,1209.17
2023-04-04,263,2939.66,196437.94,25060.23,9502.05,6439.38,1665.86
2023-04-06,264,3061.79,187694.52,21145.31,10271.34,6552.99,1361.46
2023-04-07,238,2648.16,179097.37,19657.9,9839.84,6452.8,1443.75
2023-04-10,256,2832.48,179376.12,21514.03,9635.93,5717.38,1497.53
2023-04-11,246,3202.07,202172.58,21255.97,11277.59,8035.02,1520.4
2023-04-12,261,2837.47,177260.92,20988.02,9670.2,5683.37,1501.07
2023-04-13,255,2601.37,165591.96,21385.01,8630.39,4984.07,1413.22
2023-04-14,229,2438.45,160517.59,18419.81,8615.0,5473.68,1130.89
2023-04-17,278,2940.28,189889.72,22903.82,10657.32,5718.03,1417.36
2023-04-18,279,3253.6,227727.2,25429.01,10667.71,8758.02,1968.85
2023-04-19,266,2810.74,177175.76,20517.89,9773.81,5918.88,1411.08
2023-04-20,261,2865.9,184775.28,21585.3,9783.45,6429.96,1436.32
2023-04-21,266,2808.75,203602.94,22399.29,10199.85,7533.56,1499.33
2023-04-23,272,3228.24,213419.4,24743.31,11524.54,7180.84,1774.36
2023-04-24,246,4556.49,196067.37,19317.67,12077.16,7696.82,1261.42
2023-04-25,285,3279.46,206020.24,24281.74,10413.88,7186.01,1754.93
2023-04-26,253,2775.61,183564.73,21326.59,9839.17,6060.33,1707.6
2023-04-27,271,2780.43,187297.88,23144.28,9439.65,5899.64,1578.21
2023-04-28,228,2442.44,147489.2,18411.59,7733.86,4561.8,1263.0
2023-05-04,279,3006.31,213386.25,24346.93,11123.54,7448.35,1543.76
2023-05-05,250,2772.72,170509.58,21141.43,8195.47,5585.34,1495.7
2023-05-06,281,3280.27,204800.48,21751.64,11616.99,7468.44,1602.48
2023-05-08,290,3091.76,215690.68,24031.03,11193.61,7737.36,1709.44
2023-05-09,273,3043.65,198642.37,21290.14,10659.19,7515.06,1596.34
2023-05-10,250,2571.02,168505.37,19667.11,8059.84,6007.86,1545.49
2023-05-11,278,2833.96,202367.53,21977.3,11326.09,7342.09,1526.5
2023-05-12,209,2344.59,153071.65,17700.84,8276.12,5282.29,1107.44
2023-05-15,271,3153.58,180350.06,20356.34,9714.23,6417.72,1364.02
2023-05-16,272,2695.11,178517.45,21408.14,9512.13,5886.77,1376.61
2023-05-17,262,2972.36,187680.24,21500.28,9411.17,6701.7699999999995,1447.5
2023-05-18,296,3010.35,187032.33,23002.32,9945.17,6186.27,1742.93
2023-05-19,259,2556.94,184928.29,21836.85,9658.19,6454.41,1323.14
2023-05-20,6,55.760000000000005,2921.3599999999997,273.68,191.15,121.26,23.11
2023-05-22,253,2660.27,169416.09,19677.43,9192.02,5682.91,1288.82
2023-05-23,278,3001.63,174396.21,22221.45,8869.02,5341.47,1726.31
2023-05-24,222,2385.43,157721.72,16920.24,9126.43,5810.01,1080.56
2023-05-25,258,2973.43,174806.13,21135.83,9484.1,5632.4,1369.67
2023-05-26,233,2766.11,168555.74,18440.43,8719.44,6212.7,1247.76
2023-05-29,277,3107.86,197567.53,23150.329999999998,10879.47,6759.42,1760.4
2023-05-30,268,2499.34,165913.67,20657.55,8049.95,5429.96,1339.86
2023-05-31,255,2737.9900000000002,171406.1,20080.75,9085.63,5883.77,1216.7
2023-06-01,225,2259.32,147715.53,17439.7,8201.03,4983.06,1291.75
2023-06-02,264,2908.7400000000002,159088.06,19387.75,8498.53,4992.5,1335.06
2023-06-05,290,3057.99,192275.26,20289.71,12095.87,6803.85,1326.82
2023-06-06,264,2847.39,165492.09,19716.27,9199.0,5359.62,1215.71
2023-06-07,290,3406.61,216003.51,25300.92,10473.039999999999,7821.47,1789.4
2023-06-08,268,2819.72,188214.82,21519.45,10097.16,6714.44,1700.91
2023-06-09,256,2641.72,163228.33,19502.89,8700.88,5487.29,1258.23
2023-06-12,269,2786.04,187669.86,21811.73,9586.06,6448.93,1412.0
2023-06-13,271,2695.68,203405.08,23148.48,10651.01,7477.74,1537.06
2023-06-14,279,2894.39,191262.82,22939.16,9303.48,6634.09,1754.77
2023-06-15,321,3313.2,215390.28,24342.93,11621.07,7727.0,1734.24
2023-06-16,290,3142.9,198094.69,23258.97,10774.24,6805.38,1656.03
2023-06-19,296,2972.4,195530.71,22205.61,10777.87,6892.47,1586.08
2023-06-20,268,2782.66,192146.78,21701.3,9873.54,6985.67,1487.46
2023-06-21,263,2744.62,178490.93,20869.21,8959.06,6470.84,1340.82
2023-06-24,35,395.34000000000003,26374.260000000002,2779.61,1502.3600000000001,1017.6,181.94
2023-06-25,388,4201.64,260695.81,30988.18,13754.91,8798.73,2065.76
2023-06-26,425,4467.47,331195.27,36690.56,17464.84,12042.86,2304.66
2023-08-29,4,78.02,3442.4500000000003,376.31,243.49,98.02000000000001,53.18
2023-09-01,291,3315.73,242130.49,29639.49,12817.29,7780.8,1875.9
2023-09-02,395,4601.22,320295.97,39146.4,16192.98,10337.38,2597.72
2023-09-03,328,3842.69,269320.98,31666.43,13889.53,9385.97,1930.25
2023-09-04,387,4195.53,287022.29,33616.81,15313.35,9622.4,1975.24
2023-09-05,320,3462.26,225019.18,29285.920000000002,10811.12,6729.51,1764.28
2023-09-06,354,4364.92,240745.72,27357.06,13539.01,7978.3,1597.22
2023-09-07,343,3637.13,237067.75,26939.01,12962.01,8238.2,1755.72
2023-09-08,305,3285.91,199660.06,25183.15,9861.35,6486.93,1695.2
2023-09-11,298,2923.25,197581.83,22148.94,10656.25,6997.7300000000005,1385.86
2023-09-12,300,3030.3,219023.54,25638.86,10990.09,7865.65,1833.87
2023-09-13,285,2964.04,186629.11,22389.57,9780.69,6206.41,1361.85
2023-09-14,213,2341.32,146140.07,17585.25,7572.97,4881.41,1254.2
2023-09-15,328,3384.27,217103.28,24843.85,11653.9,7616.81,1499.29
2023-09-18,353,3491.54,235776.89,28755.82,11970.96,7801.01,2045.95
2023-09-19,329,3418.45,221686.72,27058.27,11884.64,7042.53,1604.29
2023-09-20,325,3291.68,227418.7,26157.01,11459.56,8075.88,1911.42
2023-09-21,319,3430.26,207867.2,24736.3,10901.66,6969.5,1666.09
2023-09-22,308,3217.87,217132.74,24596.12,11608.6,7721.31,1612.73
2023-09-25,345,3371.5,243650.0,28875.16,12833.73,8125.66,2047.29
2023-09-26,314,3210.79,222505.35,26244.16,11266.49,7627.85,1929.56
2023-09-27,312,3092.16,206828.17,25257.72,11269.17,6426.59,1846.72
2023-09-28,275,2783.96,186964.28,22118.9,9436.98,6455.09,1598.34
2023-10-07,316,3276.02,208881.48,25257.38,11420.31,6652.24,1801.51
2023-10-08,330,3320.9,230801.88,27376.94,12528.99,7796.36,1799.28
2023-10-09,338,3399.72,221682.05,26977.05,11322.94,7448.32,2024.02
2023-10-10,326,3446.22,219939.97,25445.87,12057.36,7493.03,1775.53
2023-10-11,286,3268.79,189287.97,22630.48,9975.210000000001,6350.95,1612.76
2023-10-12,321,3398.37,218817.8,25281.68,11636.74,7661.68,1933.7
2023-10-13,317,3597.65,230298.83,25981.55,12102.99,8317.02,1982.46
2023-10-16,325,3358.81,221630.13999999998,25160.79,12288.9,7841.9,1907.1299999999999
2023-10-17,297,3184.83,203474.09,23315.21,10989.21,7205.4,1728.11
2023-10-18,297,3244.53,202960.08,23390.95,11095.49,7025.89,1756.47
2023-10-19,321,3404.18,217630.75,24940.27,11638.52,7630.69,1884.96
2023-10-20,269,2934.7,191845.79,21291.72,10498.3,6858.05,1684.83
2023-10-23,276,3116.48,189779.3,22041.53,10540.76,6302.38,1392.76
2023-10-24,319,3784.36,236473.28,27277.89,12341.59,8303.15,2155.37
2023-10-25,317,3267.78,219794.46,26183.38,11156.9,7577.55,1823.46
2023-10-26,340,3386.03,217307.58000000002,26885.92,11697.32,6554.88,1804.23
2023-10-27,283,2881.03,192831.15,22358.88,9971.07,6756.93,1576.54
2023-10-30,333,3447.57,225726.24,26947.2,11999.89,7560.95,1862.63
2023-10-31,323,3515.6,218186.36000000002,26567.77,10718.84,7247.05,1805.0
2023-11-01,325,3193.73,216692.15,27726.62,11137.76,6633.04,1789.95
2023-11-02,297,3263.15,214164.5,24325.04,11839.210000000001,7399.62,1630.32
2023-11-03,305,3221.49,207730.03,24039.61,10886.53,7242.3,1714.37
2023-11-06,333,4167.14,242209.16,27483.44,12585.06,8658.01,1950.24
2023-11-07,315,3232.73,206091.03,24165.5,12050.2,6627.04,1661.34
2023-11-08,272,2681.45,184018.3,21634.25,9414.91,6508.92,1557.29
2023-11-09,268,2880.6,186747.53,21744.16,9532.46,6422.18,1317.41
2023-11-10,211,2466.82,153601.46,18989.4,7969.38,4832.04,1427.22
2023-11-13,327,3564.93,245676.72,28150.23,12907.83,8754.01,2019.13
2023-11-14,316,3756.8,223651.75,26197.68,11767.57,7757.89,1921.67
2023-11-15,349,4000.7400000000002,265245.73,29450.91,13801.83,9727.52,1974.49
2023-11-16,273,3093.16,211491.03,26229.27,10740.68,6916.74,1867.78
2023-11-17,291,3168.51,217245.72,25140.69,11023.3,7889.32,1824.85
2023-11-20,363,4021.38,238155.38,29386.24,12687.69,7361.86,1965.17
2023-11-21,327,3562.23,232288.0,25834.27,12809.46,8551.87,1804.83
2023-11-22,356,4159.64,251351.42,30218.07,12683.9,8591.04,2185.27
2023-11-23,344,3624.74,243365.07,28495.54,13137.26,8206.43,1972.97
2023-11-24,324,3566.82,241726.37,28239.85,12016.92,8735.61,2150.7
2023-11-27,351,3755.69,234436.76,29119.31,12270.72,7222.59,2107.69
2023-11-28,339,3459.74,240891.04,29130.58,12248.54,8394.02,1943.63
2023-11-29,327,3467.02,225750.6,26708.03,11669.210000000001,7640.51,1753.91
2023-11-30,351,4160.94,260563.24,30255.45,13320.43,9275.47,2198.98
2023-12-01,321,3330.69,224444.34,27021.89,12095.69,7113.31,1759.48
2023-12-04,299,3258.31,213309.69,24711.89,11334.4,7435.82,1866.97
2023-12-05,322,3673.48,237628.26,27881.47,12672.28,8158.49,1966.12
2023-12-06,365,3720.06,249967.17,29692.78,13087.62,8546.71,1880.14
2023-12-07,302,3546.72,221114.04,26034.63,11280.98,7780.49,1914.37
2023-12-08,301,3317.72,213116.13,25378.7,11440.71,7070.85,1629.81
2023-12-11,322,3304.05,222380.13,26448.34,11974.73,7123.56,1753.62
2023-12-12,335,3496.02,244838.96,28087.71,12643.42,8686.5,1975.77
2023-12-13,332,4073.89,258934.66,29889.98,14106.41,9115.45,1952.41
2023-12-14,315,3366.79,229978.58,27238.97,12133.18,7632.95,1828.71
2023-12-15,293,3222.18,215610.33,24144.18,11515.3,7885.1,1710.54
2023-12-18,252,2685.6,176989.85,22165.74,9137.4,5610.66,1637.14
2023-12-19,278,3294.15,202263.17,22830.36,10629.24,7400.12,1642.76
2023-12-20,272,2851.6,184268.62,22570.41,10060.24,5649.57,1520.29
2023-12-21,284,3125.05,222903.68,24947.55,11696.55,8293.93,1781.6
2023-12-22,236,2561.73,171770.3,21385.67,8740.51,5479.07,1505.29
2023-12-25,290,3412.06,210891.15,25129.96,11394.65,6957.34,1834.78
2023-12-26,283,3125.2,211033.4,24631.420000000002,11085.72,7302.57,1607.82
2023-12-27,336,3538.24,247373.1,27853.3,12589.66,8968.99,1814.77
2023-12-28,315,3588.31,231028.14,27188.87,11691.76,8061.31,1936.99
2023-12-29,255,2843.36,181304.18,20247.03,10102.08,6401.24,1421.49
2024-01-02,309,3450.72,223033.28,25952.09,12283.76,7351.04,1965.75
2024-01-03,311,3230.09,220184.17,25276.42,11687.87,8056.78,1785.91
2024-01-04,303,3217.44,194490.55,23176.68,10309.28,6414.52,1776.88
2024-01-05,260,2783.39,189237.14,22244.98,10179.4,6402.34,1704.73
2024-01-08,278,2818.52,194936.03,22607.11,10531.92,6712.64,1516.07
2024-01-09,284,2971.89,209922.13,24545.61,11024.6,7283.15,1787.04
2024-01-10,301,3327.4,215075.14,24393.53,11845.34,7341.58,1782.16
2024-01-11,295,3243.62,218815.37,25223.98,11121.11,7800.96,1704.65
2024-01-12,263,2844.55,185993.47,21806.56,10227.85,6434.51,1754.86
2024-01-15,265,2741.61,188763.98,21774.23,10120.0,6547.59,1615.38
2024-01-16,240,2470.87,155371.19,19378.92,8176.38,4923.34,1460.63
2024-01-17,233,2492.03,181815.79,19227.44,9638.78,7043.55,1433.42
2024-01-18,247,2601.56,165595.6,20400.08,8490.55,5260.01,1455.02
2024-01-19,274,2861.46,201713.13999999998,22940.91,10573.17,7337.42,1713.9
2024-01-20,85,880.35,57604.36,6078.2,3179.03,2316.45,475.23
2024-01-21,66,785.68,53726.36,6049.99,3033.84,1778.5,353.1
2024-01-22,447,5112.5,294628.34,27235.21,18308.08,12285.25,3009.24
2024-01-23,366,3924.86,270315.29,31172.72,14214.62,9518.47,2182.66
2024-01-24,162,1762.94,123616.93,13346.57,6751.93,4522.61,869.79
2024-01-25,105,1135.59,79969.41,9082.46,3969.84,2998.52,802.55
2024-01-26,132,1455.32,107176.85,12230.51,5415.51,3821.54,785.73
2024-01-27,89,947.76,64853.72,6936.93,3636.32,2380.31,549.54
2024-01-28,59,664.37,43505.99,4262.83,2565.81,1735.07,318.16
2024-01-29,89,896.18,63974.26,7286.99,3337.6800000000003,2370.27,540.79
2024-01-30,95,1042.02,75936.98,8064.29,4044.56,2878.17,703.86
2024-01-31,97,893.95,58453.98,7435.63,3101.51,1725.09,532.14
2024-02-01,71,706.02,48997.65,5786.14,2500.5,1687.61,388.53
2024-02-02,36,310.69,26677.5,3087.19,1349.0,986.3,230.04
2024-02-26,263,3264.27,183850.77,19795.68,10896.31,6541.21,1521.99
2024-02-27,280,3137.85,194018.88,22498.05,10274.63,6693.49,1685.38
2024-02-28,322,3405.38,233123.4,30021.88,11687.09,7145.5,1998.65
2024-02-29,310,3245.32,233191.12,25991.3,12281.91,8575.64,1947.67
2024-03-01,318,3320.37,208876.67,25791.67,10698.2,6685.0,1771.56
2024-03-04,342,3814.71,257665.58,29969.61,12969.94,9321.65,2295.31
2024-03-05,322,3615.58,239747.52,27450.4,12748.96,8542.2,2228.18
2024-03-06,321,3444.41,227021.69,26532.46,12276.25,7650.01,1771.25
2024-03-07,323,3471.39,253678.01,29067.97,12883.91,9130.92,2118.05
2024-03-08,306,3543.08,205940.75,24802.42,10586.75,6782.96,1882.11
2024-03-11,321,3633.12,225541.37,25456.47,12069.74,7948.09,1806.38
2024-03-12,317,3282.33,216610.49,26862.01,11301.16,7028.68,1933.42
2024-03-13,315,4107.25,229866.47,25884.98,13014.61,8252.05,1907.03
2024-03-14,341,3774.13,233073.2,26938.09,12596.23,7804.31,1894.27
2024-03-15,316,4048.05,225147.52,25825.48,12468.25,7994.56,2008.03
2024-03-18,379,4613.54,286609.24,30387.62,16487.08,10354.22,2067.86
2024-03-19,345,3383.05,237356.58,29579.95,11793.82,7943.89,2188.7
2024-03-20,339,3556.18,247141.71,29096.07,12226.96,8600.74,2120.78
2024-03-21,325,3944.19,218243.76,25510.21,12330.89,7169.24,1616.51
2024-03-22,327,3441.96,232598.62,26410.92,12245.93,8548.16,2038.75
2024-03-25,380,4023.86,264080.09,30690.43,14045.9,8919.57,2166.68
2024-03-26,307,3028.82,223665.86000000002,26284.95,11247.63,8033.0,2044.39
2024-03-27,350,3528.15,239274.5,27892.88,12178.3,8393.8,2130.88
2024-03-28,326,4088.3,228236.78,28191.96,12299.71,7278.15,1783.57
2024-03-29,291,3537.99,219277.41,23080.2,11809.19,8742.8,1662.74
2024-04-01,351,3823.9,243845.69,26890.01,13953.28,8393.289999999999,2086.11
2024-04-02,323,3032.15,211954.88,25484.95,10302.68,7113.27,1779.31
2024-04-03,309,3315.74,248654.71,27191.670000000002,13114.18,9512.82,2075.37
2024-04-07,270,2751.14,184170.12,21392.92,10319.38,6115.73,1689.25
2024-04-08,341,3621.97,239547.82,29242.14,11840.24,8220.72,2085.09
2024-04-09,338,3478.68,241331.62,26108.63,12969.89,9127.12,1821.66
2024-04-10,321,3843.07,223529.58,25682.43,12092.62,7704.28,1901.8
2024-04-11,364,3836.42,253515.85,28451.47,14344.92,8773.06,2072.48
2024-04-12,317,3397.11,225246.31,26159.13,11478.11,8055.59,1859.03
2024-04-15,338,3467.69,246427.81,28380.63,13072.72,8515.39,2322.24
2024-04-16,334,3641.07,222134.94,26523.61,11577.12,7495.84,1868.26
2024-04-17,340,3481.59,247194.92,28997.08,12669.75,8688.17,2012.1
2024-04-18,349,3678.24,271769.63,29540.8,14325.14,10243.78,2440.49
2024-04-19,334,3515.08,227268.89,27548.89,11828.29,7490.55,1967.16
2024-04-22,344,3681.57,250328.81,28805.69,12842.45,8833.0,2025.84
2024-04-23,304,3345.69,245259.68,27012.42,13013.59,9284.12,1994.92
2024-04-24,354,4039.84,255270.3,28220.44,14098.33,9272.66,2041.36
2024-04-25,288,3400.75,199136.62,22961.37,10574.69,7143.81,1883.69
2024-04-26,291,3320.45,212078.15,23060.26,11555.78,7767.41,1602.41
2024-04-28,268,2747.47,180676.63,21898.98,9468.3,5891.73,1784.22
2024-04-29,312,3391.05,224007.09,25554.54,11492.53,7978.11,1975.17
2024-04-30,254,2752.29,183923.29,21365.19,10367.63,6209.3,1624.55
2024-05-06,297,3092.12,199856.37,22805.64,11240.51,6993.75,1818.46
2024-05-07,307,3189.33,217897.59,26573.55,10721.07,7239.74,2033.06
2024-05-08,302,3259.79,222463.04,23975.84,12528.29,8291.51,1651.85
2024-05-09,329,3343.94,226860.98,26912.0,11758.57,7891.65,2080.2
2024-05-10,334,4282.1,244280.31,25703.57,14002.12,9106.29,1703.19
2024-05-11,264,2911.33,182782.97,20826.38,10129.94,6188.05,1569.83
2024-05-13,304,2957.87,208518.33,23830.75,11277.65,7383.47,1753.94
2024-05-14,349,3658.37,238480.78,27499.43,12914.79,8225.25,1908.66
2024-05-15,287,2986.94,200398.02,22615.37,10886.89,7212.62,1603.09
2024-05-16,321,3366.45,225986.37,26425.75,12227.11,7778.08,2168.05
2024-05-17,308,3417.61,217523.34,23334.04,11629.0,8172.36,1721.68
2024-05-20,288,3136.18,215138.38999999998,23763.0,11641.21,7945.03,1926.81
2024-05-21,310,3340.66,205333.32,23900.65,11233.23,6962.06,1792.02
2024-05-22,311,4041.34,229396.26,24165.31,13218.24,8530.0,1770.98
2024-05-23,314,3237.12,206460.39,24687.67,11229.82,6811.07,2194.21
2024-05-24,294,3403.6,200343.25,23072.99,10285.92,6931.55,1543.2
2024-05-27,324,3551.16,226488.92,24755.17,12821.58,8140.36,1883.93
2024-05-28,348,3988.29,234088.09,26539.2,12962.89,8086.94,1874.65
2024-05-29,323,4197.42,240323.71,24954.94,13896.21,9478.11,1761.95
2024-05-30,321,3599.13,228056.9,24269.76,13199.46,8195.32,1769.85
