indent_id,dish_set
10033,米饭|肉沫茄子/西葫芦炒蛋|酱肉|酸辣土豆丝|青椒藕片|鱼香肉丝
10034,付皮包|木耳花菜|葱油鸡|青椒水面筋
10035,木耳花菜|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|葱油鸡
10036,付皮包|米饭|酥鱼|酸辣土豆丝|青椒水面筋
10037,盐水虾|葱油娃娃菜|葱油鸡
10038,付皮包|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|酱肉
10039,付皮包|木耳花菜|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|酥鱼
1004,包菜粉丝|油豆腐烧肉|米饭|花椒排骨
10040,白菜|米饭|糖醋里脊|葱油娃娃菜|葱油鸡|酱肉
10041,付皮包|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|青椒水面筋
10042,木耳花菜|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|酸辣土豆丝|鱼香肉丝
10043,油豆腐烧肉|米饭|葱油鸡|酸辣土豆丝|青椒水面筋
10044,付皮包|木耳花菜|油豆腐烧肉|米饭|肉沫茄子/西葫芦炒蛋|鱼香肉丝
10045,白菜|盐水虾|米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋|酥鱼|青椒藕片
10046,付皮包|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|酥鱼|酸辣土豆丝|鱼香肉丝
10047,白菜|米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|葱油鸡|青椒藕片
10048,白菜|米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋|葱油鸡|酥鱼|酸辣土豆丝
10049,油豆腐烧肉|盐水虾|米饭|糖醋里脊|葱油娃娃菜|青椒水面筋
1005,米饭|花椒排骨|醋溜鱼/宫保鸡丁|青椒水面筋/木耳西兰
10050,肉末粉条|肉沫茄子/西葫芦炒蛋|葱油鸡|酥鱼|鱼香肉丝
10051,米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋|葱油娃娃菜
10052,培红菜蘑菇毛豆肉丝|白菜|米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酱肉
10053,木耳花菜|米饭|糖醋里脊|红烧排骨|葱油娃娃菜|青椒水面筋|鱼香肉丝
10054,培红菜蘑菇毛豆肉丝|白菜|米饭|糖醋里脊|葱油鸡
10055,白菜|米饭|酱肉|青椒水面筋|青椒藕片|鱼香肉丝
10056,培红菜蘑菇毛豆肉丝|油豆腐烧肉|盐水虾|米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋|葱油鸡|酱肉|鱼香肉丝
10057,木耳花菜|盐水虾|米饭|糖醋里脊|红烧排骨|葱油鸡|酸辣土豆丝
10058,木耳花菜|油豆腐烧肉|米饭|葱油鸡|酥鱼|酸辣土豆丝
10059,培红菜蘑菇毛豆肉丝|米饭|肉末粉条|青椒水面筋
1006,大白菜|油豆腐烧肉|米饭|青椒水面筋/木耳西兰|青瓜花生米/青椒炒蛋|鸡米花/辣子鸡
10060,白菜|米饭|葱油娃娃菜|葱油鸡|酸辣土豆丝
10061,油豆腐烧肉|米饭|葱油娃娃菜|酥鱼
10062,付皮包|培红菜蘑菇毛豆肉丝|米饭|糖醋里脊|葱油娃娃菜|酸辣土豆丝|青椒水面筋|青椒藕片
10063,油麦菜|米饭|葱油鸡|酥鱼
10064,培红菜蘑菇毛豆肉丝|木耳花菜|油麦菜|米饭|葱油娃娃菜|酥鱼|酸辣土豆丝|鱼香肉丝
10065,付皮包|油麦菜|米饭|糖醋里脊|葱油娃娃菜|酱肉
10066,白菜|盐水虾|米饭|葱油娃娃菜|葱油鸡|酱肉
10067,培红菜蘑菇毛豆肉丝|米饭|肉沫茄子/西葫芦炒蛋|酥鱼|酱肉|鱼香肉丝
10068,付皮包|油麦菜|盐水虾|米饭|葱油娃娃菜|酱肉|青椒水面筋|鱼香肉丝
10069,培红菜蘑菇毛豆肉丝|白菜|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|酥鱼
1007,大白菜|米饭|青椒水面筋/木耳西兰|鱼香杏鲍菇炒肉
10070,付皮包|油麦菜|米饭|肉末粉条|酸辣土豆丝
10071,付皮包|油麦菜|米饭|葱油鸡|青椒水面筋
10072,米饭|肉沫茄子/西葫芦炒蛋|酱肉|青椒藕片
10073,木耳花菜|油麦菜|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|酥鱼|青椒水面筋|青椒藕片
10074,盐水虾|米饭|糖醋里脊|肉末粉条|肉沫茄子/西葫芦炒蛋
10075,油麦菜|米饭|糖醋里脊|葱油鸡|青椒水面筋
10076,付皮包
10077,付皮包|油豆腐烧肉|油麦菜|米饭|糖醋里脊|葱油鸡|鱼香肉丝
10078,培红菜蘑菇毛豆肉丝|油麦菜|米饭|红烧排骨|酥鱼|酱肉|鱼香肉丝
10079,米饭|糖醋里脊|酸辣土豆丝|鱼香肉丝
1008,米饭|花椒排骨|青椒水面筋/木耳西兰|青瓜花生米/青椒炒蛋
10080,培红菜蘑菇毛豆肉丝|油豆腐烧肉|油麦菜|盐水虾|米饭|肉末粉条|酥鱼|青椒藕片
10081,米饭|红烧排骨|肉末粉条|酱肉|酸辣土豆丝|青椒水面筋
10082,培红菜蘑菇毛豆肉丝|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|青椒藕片
10083,油麦菜|米饭|红烧排骨|肉末粉条
10084,油麦菜|盐水虾|米饭|红烧排骨|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|葱油鸡|酥鱼|鱼香肉丝
10085,付皮包|培红菜蘑菇毛豆肉丝|盐水虾|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|酥鱼
10086,付皮包|木耳花菜|油麦菜|米饭|糖醋里脊
10087,付皮包|培红菜蘑菇毛豆肉丝|油豆腐烧肉|米饭|肉沫茄子/西葫芦炒蛋|酱肉
10088,付皮包|木耳花菜|米饭|葱油鸡|青椒水面筋|鱼香肉丝
10089,培红菜蘑菇毛豆肉丝|油麦菜|米饭|红烧排骨|肉沫茄子/西葫芦炒蛋|酥鱼|酱肉|酸辣土豆丝
1009,大白菜|米饭|鱼香杏鲍菇炒肉|鸡米花/辣子鸡
10090,油豆腐烧肉|白菜|盐水虾|米饭|青椒水面筋
10091,白菜|盐水虾|米饭|酱肉
10092,付皮包|油麦菜|米饭|酱肉
10093,油豆腐烧肉|米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋|酥鱼|酱肉|酸辣土豆丝
10094,油麦菜|米饭|糖醋里脊|葱油鸡
10095,米饭|糖醋里脊|肉末粉条|葱油娃娃菜|葱油鸡|鱼香肉丝
10096,油麦菜|米饭|肉末粉条|葱油鸡|酸辣土豆丝
10097,白菜|盐水虾|米饭|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酥鱼|酱肉|青椒藕片
10098,木耳花菜|油麦菜|糖醋里脊|肉沫茄子/西葫芦炒蛋|葱油鸡|青椒水面筋
10099,油麦菜|白菜|米饭|肉沫茄子/西葫芦炒蛋|酱肉
1010,大白菜|花椒排骨|醋溜鱼/宫保鸡丁|鸡米花/辣子鸡
10100,木耳花菜|油豆腐烧肉|油麦菜|米饭|肉末粉条|葱油鸡|酱肉|鱼香肉丝
10101,油豆腐烧肉|盐水虾|米饭|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酥鱼|鱼香肉丝
10102,米饭|糖醋里脊|葱油鸡|酸辣土豆丝
10103,白菜|米饭|红烧排骨|肉沫茄子/西葫芦炒蛋|葱油鸡|酱肉|青椒水面筋
10104,米饭|酸辣土豆丝|青椒水面筋|鱼香肉丝
10105,油豆腐烧肉|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|青椒水面筋
10106,付皮包|木耳花菜|米饭|糖醋里脊|鱼香肉丝
10107,付皮包|油豆腐烧肉|盐水虾|米饭|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酱肉
10108,付皮包|油豆腐烧肉|白菜|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|酥鱼|青椒藕片
10109,米饭|糖醋里脊|红烧排骨|葱油娃娃菜|葱油鸡|酥鱼|酱肉
1011,包菜粉丝|大白菜|油豆腐烧肉|米饭|青瓜花生米/青椒炒蛋
10110,培红菜蘑菇毛豆肉丝|米饭|糖醋里脊|葱油娃娃菜|酥鱼|酱肉|青椒水面筋
10111,油麦菜|盐水虾|米饭|糖醋里脊|葱油娃娃菜|酥鱼|酸辣土豆丝|青椒藕片
10112,付皮包|油豆腐烧肉|白菜|米饭|红烧排骨|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|葱油鸡
10113,木耳花菜|油豆腐烧肉|白菜|盐水虾|米饭|葱油鸡
10114,油麦菜|葱油娃娃菜|葱油鸡|鱼香肉丝
10115,米饭
10116,培红菜蘑菇毛豆肉丝|油麦菜|米饭|糖醋里脊|葱油娃娃菜|葱油鸡
10117,培红菜蘑菇毛豆肉丝|木耳花菜|油麦菜|米饭|葱油娃娃菜|酱肉|青椒水面筋|青椒藕片
10118,油麦菜|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|青椒藕片
10119,油豆腐烧肉|米饭|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|葱油鸡|鱼香肉丝
1012,包菜粉丝|油豆腐烧肉|米饭|青瓜花生米/青椒炒蛋|鸡米花/辣子鸡
10120,培红菜蘑菇毛豆肉丝|米饭|红烧排骨|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酱肉|鱼香肉丝
10121,培红菜蘑菇毛豆肉丝|米饭|酱肉|青椒水面筋|鱼香肉丝
10122,白菜|米饭|糖醋里脊|肉沫茄子/西葫芦炒蛋
10123,包菜粉丝|千叶豆腐肉丝|大排|木耳莴笋|油豆腐烧肉|油麦菜|盐焗鸡|茄子长江豆|茭白肉丝小炒|青椒素鸡
10124,山药卷|盐焗鸡|米饭|茄子长江豆|茭白肉丝小炒
10125,油豆腐烧肉|盐焗鸡|米饭|花椒排骨|茄子长江豆|茭白肉丝小炒|青椒素鸡|香菇鸡块
10126,卤鸭|木耳莴笋|番茄炒蛋/红烧萝卜|盐水虾|米饭|花椒排骨|葱油娃娃菜|香菇鸡块
10127,包菜粉丝|大排|木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|盐水虾|米饭|葱油娃娃菜|香菇鸡块
10128,包菜粉丝|卤鸭|山药卷|木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干|茄子长江豆|香菇鸡块
10129,卤鸭|木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|盐水虾|米饭|花椒排骨|茭白肉丝小炒
1013,大白菜|干菜长江豆|米饭|醋溜鱼/宫保鸡丁
10130,包菜粉丝|番茄炒蛋/红烧萝卜|盐水虾|米饭|葱油娃娃菜|香菇鸡块
10131,包菜粉丝|卤鸭|山药卷|木耳娃娃菜|番茄炒蛋/红烧萝卜|米饭|葱油娃娃菜
10132,油豆腐烧肉|米饭|茄子长江豆|葱油娃娃菜
10133,大排|山药卷|米饭|芹菜香干
10134,木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干|茄子长江豆|青椒素鸡
10135,木耳娃娃菜|木耳莴笋|油豆腐烧肉|米饭|茄子长江豆|茭白肉丝小炒
10136,包菜粉丝|卤鸭|番茄炒蛋/红烧萝卜|米饭|芹菜香干|茄子长江豆|青椒素鸡|青菜
10137,卤鸭|大排|米饭|芹菜香干|茭白肉丝小炒|葱油娃娃菜|香菇鸡块
10138,卤鸭|米饭|茭白肉丝小炒|葱油娃娃菜|青菜
10139,包菜粉丝|卤鸭|米饭|芹菜香干|青椒素鸡
1014,包菜粉丝|干菜长江豆|米饭|花椒排骨|青椒水面筋/木耳西兰|鸡米花/辣子鸡
10140,山药卷|木耳娃娃菜|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|茄子长江豆|茭白肉丝小炒
10141,卤鸭|米饭|青椒素鸡|青菜
10142,包菜粉丝|卤鸭|番茄炒蛋/红烧萝卜|盐水虾|米饭|茄子长江豆|鱼香杏鲍菇炒肉
10143,番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|青菜
10144,木耳莴笋|番茄炒蛋/红烧萝卜|米饭|花椒排骨
10145,木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|茄子长江豆
10146,木耳莴笋|米饭|花椒排骨|芹菜香干|青菜
10147,三色绿豆芽|木耳娃娃菜|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|茄子长江豆|鱼香杏鲍菇炒肉
10148,大排|木耳娃娃菜|番茄炒蛋/红烧萝卜|米饭|茭白肉丝小炒|青菜
10149,大排|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|芹菜香干|青菜
1015,干菜长江豆|米饭|花椒排骨|青椒水面筋/木耳西兰
10150,卤鸭|山药卷|油豆腐烧肉|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干
10151,包菜粉丝|卤鸭|山药卷|木耳娃娃菜|米饭
10152,油豆腐烧肉|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干|茄子长江豆
10153,大排|米饭|芹菜香干|茄子长江豆|青椒素鸡|鱼香杏鲍菇炒肉
10154,包菜粉丝|卤鸭|山药卷|番茄炒蛋/红烧萝卜|米饭
10155,三色绿豆芽|卤鸭|木耳娃娃菜|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭
10156,包菜粉丝|油豆腐烧肉|米饭|茄子长江豆|青椒素鸡
10157,花椒排骨|芹菜香干|茄子长江豆|香菇鸡块
10158,大排|山药卷|油豆腐烧肉|盐水虾|米饭|青椒素鸡|青菜
10159,木耳莴笋|米饭|茄子长江豆|香菇鸡块
1016,大白菜|米饭|花椒排骨|青椒水面筋/木耳西兰|鸡米花/辣子鸡
10160,三色绿豆芽|大排|木耳娃娃菜|木耳莴笋|米饭|茄子长江豆|鱼香杏鲍菇炒肉
10161,包菜粉丝|大排|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干|青菜
10162,木耳娃娃菜|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭|茄子长江豆|茭白肉丝小炒
10163,三色绿豆芽|卤鸭|木耳娃娃菜|木耳莴笋|盐水虾|米饭|茭白肉丝小炒
10164,包菜粉丝|盐焗鸡|米饭|花椒排骨|芹菜香干|茄子长江豆|青椒素鸡
10165,三色绿豆芽|大排|木耳娃娃菜|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭|花椒排骨
10166,大排|山药卷|木耳莴笋|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|芹菜香干|茄子长江豆|青菜
10167,番茄炒蛋/红烧萝卜|盐焗鸡|米饭|芹菜香干|茭白肉丝小炒
10168,包菜粉丝|米饭|芹菜香干
10169,卤鸭|大排|木耳莴笋|米饭|茄子长江豆
1017,大白菜|米饭|醋溜鱼/宫保鸡丁|青椒水面筋/木耳西兰|鸡米花/辣子鸡
10170,三色绿豆芽|番茄炒蛋/红烧萝卜|米饭|芹菜香干
10171,盐焗鸡|米饭|青菜|鱼香杏鲍菇炒肉
10172,山药卷|米饭|花椒排骨|茄子长江豆|鱼香杏鲍菇炒肉
10173,山药卷|番茄炒蛋/红烧萝卜|米饭|茄子长江豆|鱼香杏鲍菇炒肉
10174,包菜粉丝|番茄炒蛋/红烧萝卜|米饭|芹菜香干|青菜|鱼香杏鲍菇炒肉
10175,大排|米饭|香菇鸡块
10176,大排|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭
10177,大排|番茄炒蛋/红烧萝卜|盐水虾|米饭|茭白肉丝小炒|鱼香杏鲍菇炒肉
10178,卤鸭|木耳娃娃菜|木耳莴笋|米饭|茄子长江豆|茭白肉丝小炒
10179,三色绿豆芽|大排|木耳娃娃菜|番茄炒蛋/红烧萝卜|米饭|鱼香杏鲍菇炒肉
1018,大白菜|米饭|花椒排骨|鸡米花/辣子鸡
10180,山药卷|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭
10181,卤鸭|山药卷|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|芹菜香干|青椒素鸡|香菇鸡块
10182,油豆腐烧肉|米饭|茄子长江豆|茭白肉丝小炒
10183,卤鸭|山药卷|盐水虾|米饭|青椒素鸡|青菜
10184,大排|木耳娃娃菜|米饭|茭白肉丝小炒
10185,三色绿豆芽|米饭|花椒排骨
10186,包菜粉丝|山药卷|番茄炒蛋/红烧萝卜|米饭|青椒素鸡|青菜
10187,包菜粉丝|大排|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|茄子长江豆|青菜
10188,三色绿豆芽|米饭|茄子长江豆|青菜|鱼香杏鲍菇炒肉
10189,三色绿豆芽|卤鸭|木耳娃娃菜|油豆腐烧肉|米饭
1019,米饭|花椒排骨|醋溜鱼/宫保鸡丁|青瓜花生米/青椒炒蛋
10190,三色绿豆芽|大排|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭
10191,山药卷|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|芹菜香干|青菜
10192,大排|番茄炒蛋/红烧萝卜|米饭|青菜
10193,番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|芹菜香干
10194,木耳莴笋|油豆腐烧肉|米饭|花椒排骨
10195,包菜粉丝|卤鸭|米饭|芹菜香干|青菜
10196,卤鸭|番茄炒蛋/红烧萝卜|盐水虾|米饭|青椒素鸡|青菜
10197,三色绿豆芽|大排|木耳娃娃菜|油豆腐烧肉|米饭|茄子长江豆
10198,包菜粉丝|大排|茭白肉丝小炒|鱼香杏鲍菇炒肉
10199,三色绿豆芽|大排|番茄炒蛋/红烧萝卜|盐水虾|米饭|青椒素鸡
1020,大白菜|米饭|青椒水面筋/木耳西兰|鸡米花/辣子鸡
10200,大排|木耳娃娃菜|油豆腐烧肉|米饭|茄子长江豆
10201,包菜粉丝|大排|山药卷|番茄炒蛋/红烧萝卜|米饭|青菜
10202,卤鸭|木耳莴笋|盐水虾|米饭|芹菜香干|茄子长江豆|青椒素鸡|鱼香杏鲍菇炒肉
10203,大排|番茄炒蛋/红烧萝卜|米饭|青椒素鸡
10204,包菜粉丝|山药卷|油豆腐烧肉|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干
10205,山药卷|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|芹菜香干|青椒素鸡|青菜|香菇鸡块
10206,卤鸭|木耳莴笋|番茄炒蛋/红烧萝卜|米饭|青椒素鸡
10207,包菜粉丝|大排|番茄炒蛋/红烧萝卜|米饭|茄子长江豆
10208,木耳娃娃菜|番茄炒蛋/红烧萝卜|米饭|茭白肉丝小炒
10209,山药卷|木耳莴笋|盐焗鸡|米饭|茄子长江豆
1021,包菜粉丝|大白菜|油豆腐烧肉|米饭|青瓜花生米/青椒炒蛋|鸡米花/辣子鸡
10210,三色绿豆芽|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭|芹菜香干|青椒素鸡
10211,油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭|芹菜香干|青椒素鸡|鱼香杏鲍菇炒肉
10212,卤鸭|山药卷|米饭|青菜
10213,大排|木耳娃娃菜|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭|茭白肉丝小炒
10214,木耳娃娃菜|木耳莴笋|米饭|花椒排骨|茄子长江豆|茭白肉丝小炒|鱼香杏鲍菇炒肉
10215,木耳娃娃菜|番茄炒蛋/红烧萝卜|米饭|茄子长江豆|茭白肉丝小炒
10216,木耳莴笋|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|芹菜香干|青椒素鸡|青菜|香菇鸡块
10217,包菜粉丝|山药卷|番茄炒蛋/红烧萝卜|盐水虾|米饭
10218,大排|木耳莴笋|米饭|茄子长江豆
10219,大排|木耳娃娃菜|米饭|茭白肉丝小炒|鱼香杏鲍菇炒肉
1022,大白菜|米饭|醋溜鱼/宫保鸡丁|青瓜花生米/青椒炒蛋|鱼香杏鲍菇炒肉
10220,包菜粉丝|番茄炒蛋/红烧萝卜|米饭|青菜
10221,卤鸭|山药卷|番茄炒蛋/红烧萝卜|米饭|芹菜香干|青椒素鸡
10222,大排|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|茄子长江豆
10223,大排|山药卷|油豆腐烧肉|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干|青菜
10224,山药卷|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|芹菜香干|青菜|香菇鸡块
10225,三色绿豆芽|卤鸭|木耳莴笋|番茄炒蛋/红烧萝卜|米饭|花椒排骨|茄子长江豆|鱼香杏鲍菇炒肉
10226,大排|木耳娃娃菜|盐焗鸡|米饭|芹菜香干|青菜|香菇鸡块
10227,三色绿豆芽|卤鸭|山药卷|木耳娃娃菜|番茄炒蛋/红烧萝卜|盐焗鸡|米饭|香菇鸡块
10228,三色绿豆芽|大排|木耳莴笋|番茄炒蛋/红烧萝卜|米饭|花椒排骨|茄子长江豆
10229,大排|番茄炒蛋/红烧萝卜|盐水虾|米饭|芹菜香干|茄子长江豆
1023,包菜粉丝|米饭|青椒水面筋/木耳西兰|鸡米花/辣子鸡
10230,三色绿豆芽|大排|木耳娃娃菜|木耳莴笋|米饭|茄子长江豆
10231,大排|木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|米饭
10232,包菜粉丝|大排|木耳娃娃菜|番茄炒蛋/红烧萝卜|米饭
10233,番茄炒蛋/红烧萝卜|盐焗鸡|米饭|香菇鸡块
10234,木耳娃娃菜|米饭|茄子长江豆|茭白肉丝小炒
10235,三色绿豆芽|木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|米饭|茭白肉丝小炒
10236,包菜粉丝|山药卷|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|茭白肉丝小炒|香菇鸡块
10237,三色绿豆芽|卤鸭|木耳娃娃菜|盐水虾|盐焗鸡|米饭|茄子长江豆|鱼香杏鲍菇炒肉
10238,卤鸭|木耳娃娃菜|盐水虾|米饭
10239,包菜粉丝|大排|米饭|茄子长江豆|香菇鸡块
1024,大白菜|米饭|醋溜鱼/宫保鸡丁|青椒水面筋/木耳西兰|鸡米花/辣子鸡
10240,三色绿豆芽|卤鸭|番茄炒蛋/红烧萝卜|米饭|香菇鸡块
10241,三色绿豆芽|米饭|茄子长江豆|茭白肉丝小炒
10242,包菜粉丝|卤鸭|番茄炒蛋/红烧萝卜|盐水虾|盐焗鸡|米饭|青椒素鸡|香菇鸡块
10243,大排|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭|茄子长江豆
10244,三色绿豆芽|卤鸭|木耳娃娃菜|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜
10245,三色绿豆芽|大排|木耳娃娃菜|木耳莴笋|番茄炒蛋/红烧萝卜|盐水虾|米饭|花椒排骨|鱼香杏鲍菇炒肉
10246,三色绿豆芽|大排|番茄炒蛋/红烧萝卜|盐水虾|米饭
10247,木耳莴笋|油豆腐烧肉|米饭|花椒排骨|茄子长江豆|茭白肉丝小炒
10248,山药卷|盐水虾|盐焗鸡|米饭|芹菜香干|青椒素鸡|青菜
10249,包菜粉丝|大排|山药卷|木耳莴笋|油豆腐烧肉|番茄炒蛋/红烧萝卜|米饭|花椒排骨|茄子长江豆|茭白肉丝小炒|青椒素鸡|青菜
1025,大白菜|干菜长江豆|油豆腐烧肉|米饭|鱼香杏鲍菇炒肉|鸡米花/辣子鸡
