indent_id,订单总重量,订单总金额,订单菜品种类数,热量总量,碳水总量,蛋白质总量,脂肪总量,膳食纤维总量
10061,462,8.66,4,645.2,77.61,28.61,22.64,4.37
10062,500,12.74,8,793.39,100.9,38.85,24.48,8.52
10063,544,11.14,4,744.4,88.71000000000001,44.49,21.35,2.66
10064,728,12.84,8,924.0699999999999,138.88,42.35,21.16,7.57
10065,483,12.44,6,655.45,81.86999999999999,29.36,23.18,4.63
10066,338,12.34,6,471.85,23.45,39.44,25.41,1.79
10067,317,9.8,6,673.6,58.830000000000005,42.37,30.65,5.96
10068,462,14.78,8,588.37,68.55,35.239999999999995,21.15,4.61
10069,460,10.879999999999999,6,760.5699999999999,71.07,50.4,29.57,4.96
1007,482,7.49,4,598.8800000000001,91.24000000000001,28.22,14.54,8.77
10070,515,7.96,5,784.05,121.47999999999999,27.5,20.580000000000002,6.51
10071,456,8.530000000000001,5,662.3,99.3,29.560000000000002,15.8,3.8
10072,547,7.359999999999999,4,931.8199999999999,133.82,38.5,27.16,7.32
10073,734,13.14,8,946.47,133.53,45.22,25.439999999999998,11.02
10074,793,15.409999999999998,5,1531.16,180.85,82.53999999999999,51.4,11.24
10075,380,9.03,5,551.1,62.54,31.669999999999998,17.54,2.7199999999999998
10076,82,2.95,1,205.0,28.7,8.2,6.56,1.64
10077,657,14.07,7,1077.7,138.05,50.75,32.01,5.43
10078,401,11.58,7,652.55,65.03,37.61,27.31,3.8200000000000003
10079,445,8.91,4,645.66,94.9,28.65,15.04,3.96
1008,321,5.779999999999999,4,578.7,62.629999999999995,27.86,24.22,5.8
10080,524,9.639999999999999,8,795.5,102.52,39.93,23.88,6.21
10081,459,11.3,6,776.23,89.22,36.97,30.0,4.95
10082,507,11.87,5,961.45,94.27000000000001,58.620000000000005,38.48,9.45
10083,588,11.27,4,955.25,104.99000000000001,45.160000000000004,37.68,6.470000000000001
10084,488,13.969999999999999,9,697.34,67.34,49.11,24.56,4.05
10085,378,11.54,7,772.8,74.09,51.82,29.56,6.4
10086,419,7.71,5,562.9100000000001,93.47,20.41,11.0,4.77
10087,601,16.98,6,1403.1,126.69,80.01,65.25,13.75
10088,550,11.389999999999999,6,762.92,114.29,35.2,18.72,4.99
10089,686,15.27,8,1122.9,127.33000000000001,59.52,41.49,8.92
1009,567,9.870000000000001,4,865.1,104.7,45.35,28.18,8.06
10090,591,8.8,5,663.02,114.16,27.1,10.53,5.15
10091,491,12.59,4,598.77,70.06,37.03,20.720000000000002,3.02
10092,446,11.9,4,687.2,88.32,29.5,25.7,4.67
10093,607,14.670000000000002,7,1131.15,121.93,55.949999999999996,45.95,7.13
10094,423,8.28,4,567.7,72.22,29.69,15.47,2.59
10095,681,15.49,6,1133.0,117.24,65.0,42.48,4.8100000000000005
10096,765,12.37,5,1067.1100000000001,138.31,52.04,32.440000000000005,6.91
10097,534,11.01,8,765.17,102.58,36.71,23.35,5.27
10098,269,9.16,6,412.6,20.26,34.22,21.509999999999998,3.43
10099,435,8.36,5,649.8,78.74000000000001,31.14,24.81,5.71
1010,689,22.06,4,1715.17,68.99,137.07999999999998,94.9,9.91
10100,681,14.83,8,886.65,104.69,47.3,31.020000000000003,6.180000000000001
10101,429,13.74,7,757.91,61.16,55.269999999999996,32.39,6.8
10102,692,14.969999999999999,4,1133.6399999999999,135.57,60.73,33.18,4.859999999999999
10103,496,10.58,7,791.27,86.87,44.05,29.43,4.91
10104,428,8.280000000000001,4,532.5899999999999,91.53,20.939999999999998,10.06,4.57
10105,482,5.53,6,803.15,117.09,32.13,22.509999999999998,6.62
10106,622,11.74,5,965.75,150.34,39.69,21.88,4.97
10107,1659,53.12,7,3665.24,478.97,161.53,126.85,28.390000000000004
10108,623,10.67,8,945.06,127.12,42.42,28.419999999999998,8.17
10109,543,16.64,7,923.75,85.09,54.39,38.66,3.27
1011,596,7.05,5,808.5799999999999,107.60000000000001,29.49,26.95,6.92
10110,476,13.450000000000001,7,834.8,90.54,44.46,32.32,5.54
10111,385,10.84,8,421.09,52.43,29.03,9.08,3.61
10112,494,12.89,8,870.6700000000001,72.84,54.97,39.56,6.85
10113,476,8.27,6,393.24,56.58,21.5,8.61,4.91
10114,185,6.76,4,226.5,8.14,20.37,12.74,1.19
10115,202,0.44,1,262.6,56.96,5.45,0.61,0.81
10116,746,12.78,6,1146.25,153.11,56.24,30.61,5.59
10117,429,10.19,8,568.6700000000001,70.56,27.47,20.47,5.6
10118,242,6.07,5,339.25,30.75,22.26,14.09,3.8000000000000003
10119,416,10.53,6,667.65,63.69,39.69,28.509999999999998,4.63
1012,536,7.86,5,914.6,105.62,37.16,35.5,7.4399999999999995
10120,562,16.8,7,1115.75,98.63,64.75,53.08,8.08
10121,515,16.08,5,862.1,96.14,45.980000000000004,35.86,6.09
10122,464,8.55,4,867.47,105.33,42.65,28.37,6.77
10123,6749,330.21,10,13706.199999999999,157.86,1559.92,708.59,10.709999999999999
10124,454,13.049999999999999,5,820.05,101.85,42.73,25.91,7.489999999999999
10125,480,14.129999999999999,8,802.6,70.71,53.78,34.67,7.83
10126,380,11.850000000000001,8,696.04,56.22,47.81,31.64,4.79
10127,508,12.49,9,784.38,85.85,44.11,28.17,6.75
10128,475,13.37,11,696.25,84.27000000000001,36.36,24.54,8.84
10129,303,9.81,8,549.08,42.64,39.379999999999995,24.5,4.03
1013,518,6.39,4,784.23,105.99000000000001,44.1,18.81,6.6899999999999995
10130,621,8.77,6,764.8,136.9,28.330000000000002,10.68,6.1899999999999995
10131,547,11.73,7,1002.45,111.9,44.58,41.66,9.12
10132,439,7.45,4,598.9,78.72,21.66,21.18,7.220000000000001
10133,433,8.370000000000001,4,696.1999999999999,97.08,29.06,19.23,3.27
10134,911,17.119999999999997,8,1256.34,163.08,59.17,41.17,17.12
10135,388,8.94,6,541.5,59.43,24.52,22.11,7.58
10136,826,14.190000000000001,8,1087.6200000000001,140.06,47.47,38.26,13.2
10137,333,11.69,7,540.61,38.15,37.06,25.85,3.05
10138,668,16.09,5,791.3,71.71,48.87,35.33,5.41
10139,492,7.390000000000001,5,674.1800000000001,99.21000000000001,29.61,17.45,3.96
1014,511,9.61,6,839.1999999999999,102.82,42.480000000000004,29.05,8.55
10140,454,11.05,7,751.9,86.37,40.32,26.200000000000003,7.42
10141,430,7.96,4,535.8,62.47,31.990000000000002,18.75,3.24
10142,471,10.54,7,814.27,92.06,44.06,29.96,7.55
10143,645,11.13,5,869.4300000000001,121.49000000000001,52.34,17.86,4.699999999999999
10144,478,8.88,4,859.8,95.44,41.26,34.33,8.02
10145,559,11.68,6,853.25,93.98,47.03,31.35,10.040000000000001
10146,571,8.75,5,666.95,96.39,29.68,17.7,6.18
10147,544,12.4,8,749.03,89.14,48.589999999999996,20.97,6.41
10148,692,12.57,6,1055.1,135.45,47.21,33.56,8.64
10149,679,14.04,7,1113.25,118.13,62.900000000000006,41.03,7.41
1015,274,4.8100000000000005,4,469.7,55.72,24.23,16.91,3.71
10150,507,12.67,7,986.66,99.19,54.870000000000005,40.39,7.34
10151,427,10.379999999999999,5,586.25,72.06,27.28,20.34,3.89
10152,585,11.989999999999998,6,1047.41,112.27,51.04,43.24,11.809999999999999
10153,1015,23.65,6,1495.12,180.37,80.78999999999999,49.9,16.34
10154,685,11.139999999999999,5,1225.45,163.56,49.03,40.830000000000005,8.61
10155,637,12.98,7,953.05,97.92,47.28,41.05,8.74
10156,790,11.31,5,1087.1,161.14000000000001,41.480000000000004,29.8,10.78
10157,758,30.54,4,1259.6,71.7,91.25,72.08,19.11
10158,768,20.36,7,1184.94,126.81,69.61,42.06,6.98
10159,442,12.19,4,543.4,72.3,29.89,17.169999999999998,9.940000000000001
1016,1330,8.19,5,1748.96,332.26,52.42,19.83,8.93
10160,402,8.61,7,570.55,71.7,27.47,17.61,4.57
10161,491,6.67,7,710.66,109.77000000000001,29.56,15.03,3.71
10162,565,9.99,7,925.5,112.09,37.56,35.84,12.280000000000001
10163,501,12.719999999999999,7,537.47,71.31,35.99,11.86,5.81
10164,591,14.040000000000001,7,858.62,89.25999999999999,53.49,32.02,8.53
10165,555,15.01,8,1004.25,74.83,56.760000000000005,51.97,10.51
10166,527,12.040000000000001,9,829.81,95.80000000000001,43.02,28.92,6.51
10167,403,7.39,5,674.52,79.00999999999999,37.58,22.11,4.78
10168,437,5.83,3,482.66,87.96000000000001,14.629999999999999,7.4399999999999995,5.5200000000000005
10169,767,22.57,5,1273.9,106.96000000000001,76.4,57.66,8.77
1017,402,6.84,5,656.94,74.7,38.65,21.819999999999997,5.7
10170,235,3.72,4,352.33,42.68,15.33,13.83,4.590000000000001
10171,395,8.04,4,482.05,57.349999999999994,32.29,13.1,3.7399999999999998
10172,327,10.74,5,684.25,65.2,36.0,30.96,7.109999999999999
10173,538,12.9,5,1121.4,146.53,40.68,41.57,14.43
10174,614,10.379999999999999,6,924.75,126.43,38.28,29.290000000000003,11.32
10175,352,10.74,3,602.0,59.019999999999996,38.42,22.4,2.36
10176,610,10.32,5,1120.1,129.89,49.42,42.54,8.959999999999999
10177,595,16.23,6,1086.2,118.53,63.62,37.730000000000004,8.82
10178,429,8.26,6,559.45,77.29,24.46,16.61,5.87
10179,525,10.629999999999999,6,829.8,99.61000000000001,40.24,28.029999999999998,6.14
1018,462,13.649999999999999,4,947.9,43.42,67.56,55.12,4.71
10180,496,12.02,5,1018.9399999999999,107.78999999999999,61.06,37.11,7.18
10181,243,7.09,8,486.15999999999997,47.85,29.88,19.900000000000002,3.46
10182,448,8.629999999999999,4,677.1,89.53999999999999,27.47,22.39,8.09
10183,306,6.92,6,378.96000000000004,52.47,22.79,9.13,2.55
10184,578,13.99,4,779.7,93.22,40.2,23.97,5.5200000000000005
10185,488,8.41,3,767.5,90.86000000000001,38.85,27.14,4.07
10186,711,11.8,6,1060.5500000000002,146.85000000000002,47.199999999999996,33.15,12.19
10187,359,6.83,7,545.5,65.06,27.200000000000003,18.97,5.74
10188,422,6.640000000000001,5,492.35,81.66,18.5,10.45,7.05
10189,608,12.99,5,845.15,79.22,43.480000000000004,38.43,6.3100000000000005
1019,716,13.81,4,1710.3,142.3,106.15,74.25,8.67
10190,576,10.98,5,1061.3000000000002,111.51,50.43,43.489999999999995,7.09
10191,665,21.970000000000002,7,1344.22,111.26,95.16,56.72,9.959999999999999
10192,559,9.85,4,925.5999999999999,98.3,44.620000000000005,37.99,7.82
10193,453,9.34,5,761.76,84.31,46.36,25.74,5.62
10194,379,7.28,4,616.4,65.35,29.049999999999997,25.39,4.88
10195,571,11.45,5,763.5,83.45,41.72,29.610000000000003,4.0200000000000005
10196,567,11.41,6,878.56,104.0,52.43,28.33,6.68
10197,418,7.39,6,555.65,75.28,23.14,16.59,4.95
10198,361,14.46,4,631.1,49.269999999999996,40.65,28.41,7.01
10199,616,11.82,6,919.25,118.14,51.1,26.04,5.92
1020,474,8.14,4,585.3199999999999,70.83,31.689999999999998,19.61,6.220000000000001
10200,648,13.18,5,936.5999999999999,112.03999999999999,40.5,33.75,9.39
10201,392,10.030000000000001,6,719.3,72.42,36.019999999999996,29.89,5.220000000000001
10202,396,10.2,8,546.19,65.08,32.5,17.88,6.76
10203,389,7.07,4,696.3,82.1,34.56,24.11,3.9
10204,497,11.91,7,831.91,99.22,41.58,29.08,8.18
10205,491,10.62,8,761.8299999999999,89.03999999999999,43.699999999999996,25.73,6.15
10206,461,8.43,5,796.5,90.28,39.14,31.699999999999996,7.92
10207,557,14.059999999999999,5,1071.6,101.54,53.58,48.08,10.78
10208,632,10.95,4,1024.0,132.38,42.42,34.66,11.05
10209,515,14.38,5,868.95,109.7,46.98,25.94,7.83
1021,692,10.53,6,1020.42,117.47,43.54,39.33,9.25
10210,442,8.76,7,744.8399999999999,72.88,36.09,34.67,9.14
10211,409,8.89,6,730.58,72.87,38.29,32.16,8.02
10212,616,10.530000000000001,4,824.2,117.19,35.269999999999996,23.75,3.9699999999999998
10213,442,8.48,7,713.55,87.62,32.74,23.7,5.01
10214,244,5.7,7,366.5,44.12,18.22,12.64,4.09
10215,772,12.15,5,1173.2,162.94,43.47,37.55,14.75
10216,498,10.76,9,684.9300000000001,80.4,43.69,21.68,6.67
10217,582,11.700000000000001,5,953.51,136.71,46.08,23.61,7.88
10218,471,10.63,4,680.9,83.04,31.869999999999997,22.93,7.23
10219,487,10.06,5,702.3,95.7,32.81,18.5,4.92
1022,556,9.67,5,1127.3400000000001,107.64,69.73,42.9,9.56
10220,350,4.3,4,452.05,71.36,14.93,11.59,5.41
10221,427,10.790000000000001,6,836.25,77.82,47.580000000000005,38.54,5.92
10222,634,13.85,5,1234.0,122.05999999999999,65.65,52.129999999999995,11.780000000000001
10223,525,13.62,8,885.03,84.75,49.93,36.7,6.3100000000000005
10224,513,13.78,8,923.39,86.95,60.220000000000006,37.379999999999995,7.89
10225,454,11.73,8,962.9,80.60000000000001,52.24,48.68000000000001,10.23
10226,599,16.740000000000002,7,893.25,81.89999999999999,63.4,33.03,4.21
10227,655,14.98,8,1061.45,120.75999999999999,62.29,36.27,6.68
10228,362,9.82,7,801.65,60.980000000000004,44.15,41.98,8.16
10229,515,13.07,6,855.41,91.06,50.45,31.39,8.7
1023,409,7.53,4,611.1,82.93,28.51,18.44,7.61
10230,531,10.29,6,569.85,85.11,22.79,15.15,9.49
10231,381,7.95,5,586.45,65.52000000000001,28.14,21.82,5.0600000000000005
10232,435,9.55,5,834.85,82.08,40.260000000000005,36.57,7.450000000000001
10233,369,7.66,4,696.2,75.85,40.120000000000005,25.68,5.220000000000001
10234,438,8.99,4,452.8,69.49,16.83,11.13,7.81
10235,665,8.27,6,872.55,143.14,30.18,18.8,8.88
10236,599,11.4,8,861.64,137.51999999999998,40.24,15.370000000000001,6.35
10237,664,17.59,8,904.96,102.84,62.43,26.86,7.07
10238,551,14.059999999999999,4,583.49,77.14,44.38,9.23,2.4299999999999997
10239,483,10.36,5,646.8,88.83,26.47,19.44,8.39
1024,524,9.139999999999999,5,1026.51,105.98,63.45,35.92,6.720000000000001
10240,426,12.81,5,865.15,69.2,53.4,44.07,8.73
10241,526,11.370000000000001,4,682.25,98.18,29.730000000000004,19.349999999999998,10.790000000000001
10242,406,13.09,8,722.7,54.82,55.88,31.81,4.16
10243,674,9.26,6,1016.8,150.03,38.05,26.990000000000002,7.970000000000001
10244,294,8.41,6,525.4000000000001,31.0,31.369999999999997,31.28,5.92
10245,388,11.32,9,620.1,56.72,40.43,24.78,5.43
10246,434,10.86,5,714.94,72.31,43.92,26.46,4.64
10247,308,8.01,6,522.8,50.52,28.07,22.82,5.54
10248,553,12.74,7,701.94,93.66,49.47,14.42,4.33
10249,683,15.51,12,1224.5,135.65,55.14,50.53,13.959999999999999
1025,569,10.89,6,857.45,92.16,44.81,34.02,10.19
10250,678,13.17,4,727.25,110.5,42.230000000000004,15.629999999999999,7.4399999999999995
10251,544,14.22,9,796.45,75.25,40.11,37.31,13.43
10252,453,13.32,10,657.46,52.019999999999996,42.59,30.45,5.57
10253,482,14.94,7,671.15,48.22,46.67,33.56,8.24
10254,814,13.87,6,1078.6,160.03,50.58,23.6,5.95
10255,778,15.41,6,1464.1,170.32999999999998,64.02,59.13,20.03
10256,503,11.75,6,585.89,54.199999999999996,41.84,23.3,5.34
10257,585,12.809999999999999,7,885.92,120.9,39.86,24.85,6.91
10258,680,13.54,9,1020.35,130.95999999999998,57.32,29.45,8.370000000000001
10259,384,12.65,7,756.5,57.870000000000005,43.95,37.46,7.7299999999999995
1026,1016,25.98,5,2238.53,133.34,145.96,119.02000000000001,25.13
10260,520,10.620000000000001,6,762.15,100.71000000000001,38.32,23.04,9.370000000000001
10261,625,13.06,4,969.5999999999999,124.87,44.03,32.71,4.0
10262,669,10.27,5,1158.85,132.87,50.69,44.74,9.07
10263,223,9.75,6,304.85,12.129999999999999,34.5,12.9,3.18
10264,575,11.73,5,1009.05,119.65,48.58,36.01,8.7
10265,336,11.17,6,616.23,49.370000000000005,42.35,26.54,4.8
10266,492,8.329999999999998,4,605.6300000000001,74.95,30.83,20.509999999999998,3.36
10267,423,12.190000000000001,7,840.6,72.32,44.25,40.47,9.73
10268,377,8.92,9,518.9300000000001,55.05,32.76,19.36,5.2700000000000005
10269,463,9.18,7,647.25,86.86,30.479999999999997,18.29,5.11
1027,393,8.27,5,693.37,55.78,40.39,33.01,4.28
10270,396,9.82,6,689.0,67.11,36.93,29.17,6.15
10271,687,14.45,4,1336.7,127.85000000000001,74.81,60.12,8.940000000000001
10272,497,8.219999999999999,6,641.31,104.5,22.95,14.46,5.59
10273,531,14.39,7,824.75,86.14,44.730000000000004,32.01,8.93
10274,322,5.840000000000001,3,338.79999999999995,53.32,11.52,9.87,7.720000000000001
10275,551,10.86,7,898.95,125.77,36.15,26.69,7.540000000000001
10276,540,13.17,3,860.4,94.62,42.47,32.14,7.67
10277,394,7.800000000000001,4,594.45,89.13,22.490000000000002,16.04,2.81
10278,449,8.32,6,492.7,69.73,22.75,12.030000000000001,3.44
10279,631,6.41,4,670.35,126.91999999999999,18.48,9.42,7.92
1028,531,8.129999999999999,5,842.9,101.4,33.01,32.85,9.56
10280,445,4.2700000000000005,2,404.84999999999997,86.08,10.05,1.48,2.99
10281,642,11.129999999999999,5,845.1800000000001,118.63,37.94,23.57,8.84
10282,577,11.69,6,676.7,85.96000000000001,31.509999999999998,21.169999999999998,7.2
10283,410,7.22,5,715.65,100.84,28.37,22.65,6.7
10284,388,11.3,5,445.26,33.64,40.76,17.060000000000002,3.31
10285,731,12.4,8,851.3000000000001,108.80000000000001,37.9,27.880000000000003,7.42
10286,336,7.25,4,666.9,67.06,33.15,28.14,5.3100000000000005
10287,320,7.96,6,438.9,53.89,21.54,15.07,3.3
10288,483,16.58,8,689.2,86.59,36.73,22.95,11.21
10289,273,7.83,6,484.15000000000003,39.36,28.53,23.48,4.74
1029,682,14.76,4,1259.6,120.88,67.99000000000001,57.7,13.74
10290,353,10.48,5,624.8,64.55,34.44,25.189999999999998,7.55
10291,572,19.07,5,1144.2,86.92,71.99,56.52,9.7
10292,709,13.879999999999999,5,1113.05,132.44,49.650000000000006,39.739999999999995,9.85
10293,686,14.79,6,1029.23,129.81,53.980000000000004,31.849999999999998,5.56
10294,285,5.390000000000001,5,456.15,50.57,22.64,18.38,4.77
10295,427,14.74,7,695.85,64.58,53.14,24.13,6.39
10296,449,9.65,4,541.45,59.800000000000004,33.370000000000005,20.04,3.62
10297,382,9.28,8,598.2,67.25,30.490000000000002,23.17,4.94
10298,291,6.65,5,595.9,59.73,28.61,26.2,4.38
10299,647,14.799999999999999,8,1066.7,130.41,51.959999999999994,35.53,7.66
1030,582,10.05,4,773.8,88.49,39.7,28.299999999999997,6.09
10300,700,13.860000000000001,6,1159.8000000000002,131.72,60.01,44.56,10.16
10301,294,6.71,4,695.95,90.67,25.740000000000002,25.169999999999998,6.36
10302,365,10.0,8,670.2,65.46000000000001,36.73,28.08,4.4
10303,358,9.01,5,514.1,60.5,25.72,19.59,4.19
10304,807,13.15,7,1099.1,163.26,50.96,28.900000000000002,12.4
10305,521,12.690000000000001,5,710.45,104.34,38.08,17.97,6.659999999999999
10306,656,11.17,4,849.2,129.87,33.47,19.92,8.96
10307,423,11.38,7,747.9,65.81,40.15,34.620000000000005,7.68
10308,471,11.85,4,666.3000000000001,76.33,35.11,21.43,3.86
10309,392,8.26,3,895.4,91.81,41.56,40.13,10.51
1031,475,5.68,4,738.04,88.16,28.13,28.269999999999996,5.56
10310,667,7.24,4,930.45,144.3,31.110000000000003,24.700000000000003,9.85
10311,337,8.98,4,696.2,58.59,37.9,33.06,6.1899999999999995
10312,489,8.29,5,723.6,94.16,32.86,21.919999999999998,3.96
10313,443,12.34,7,719.53,82.36,37.77,25.0,5.65
10314,297,7.43,4,417.75,44.54,21.38,15.450000000000001,3.5300000000000002
10315,438,7.67,4,510.7,88.17,18.61,8.5,5.52
10316,448,9.1,6,663.2,80.32,32.16,23.22,5.859999999999999
10317,426,11.190000000000001,6,576.45,64.95,30.12,21.529999999999998,8.559999999999999
10318,397,10.91,7,612.28,67.50999999999999,35.81,21.96,6.42
10319,464,8.88,9,641.1,80.61000000000001,28.64,21.63,6.91
1032,419,7.9,4,720.0999999999999,80.03999999999999,37.23,27.38,5.32
10320,646,14.950000000000001,5,1117.7,95.6,61.57,52.57,4.96
10321,425,11.57,7,856.6,95.28,41.13,34.15,9.0
10322,554,12.469999999999999,7,713.2,99.47,37.72,19.12,6.789999999999999
10323,594,11.85,8,767.4,111.94,33.36,19.189999999999998,8.58
10324,469,10.530000000000001,8,657.0699999999999,79.3,39.339999999999996,20.81,5.96
10325,270,9.31,5,464.35,41.42,28.5,18.88,3.47
10326,407,9.75,5,580.7,70.99,28.17,18.87,6.11
10327,486,16.25,9,889.1,80.52000000000001,54.88,39.29,10.12
10328,473,7.28,7,562.2,92.24,19.14,12.03,6.6899999999999995
10329,668,15.37,5,1267.7,126.21,64.52000000000001,54.0,10.98
1033,464,7.18,4,625.4300000000001,83.76,28.91,18.04,5.37
10330,376,9.11,6,616.5,64.7,31.36,26.06,7.07
10331,673,13.51,7,1183.05,128.66,54.75,47.620000000000005,11.09
10332,560,7.98,3,623.1,86.56,29.689999999999998,17.7,3.14
10333,484,11.24,4,658.3,87.71,32.980000000000004,20.79,10.87
10334,505,12.21,5,742.21,88.47999999999999,42.02,22.61,4.78
10335,526,12.7,4,823.8,97.1,42.67,29.040000000000003,5.66
10336,552,11.59,5,771.2,94.37,31.92,29.089999999999996,11.78
103362,473,10.71,9,663.1899999999999,64.38,38.57,27.7,4.76
103363,343,8.93,5,356.91999999999996,45.339999999999996,19.65,9.43,2.78
103364,409,13.16,5,678.3,73.09,36.68,26.169999999999998,4.8
103365,625,14.16,7,781.9,108.17,36.760000000000005,21.060000000000002,5.36
103366,744,24.01,6,1054.38,90.89,68.52,48.34,5.08
103367,580,12.57,6,671.5,68.41,34.14,26.490000000000002,5.58
103368,460,8.8,5,727.59,84.14,34.22,25.939999999999998,4.1
103369,464,11.370000000000001,6,745.22,83.57,40.34,26.939999999999998,4.8500000000000005
10337,479,6.62,3,474.4,88.2,12.440000000000001,6.76,6.49
103370,268,7.22,4,363.55,19.28,27.75,21.19,2.99
103371,729,21.2,13,1127.1399999999999,94.37,70.46000000000001,51.28,9.28
103372,346,8.370000000000001,4,617.15,54.3,33.72,28.64,4.11
103373,439,7.48,6,525.25,58.550000000000004,24.380000000000003,20.98,6.34
103374,437,10.52,6,760.9,74.81,39.61,32.93,5.67
103375,231,9.219999999999999,5,275.22,27.1,18.61,9.629999999999999,1.8
103376,345,6.48,6,527.33,59.910000000000004,23.84,20.28,4.69
103377,323,6.43,6,364.58,37.63,21.2,15.219999999999999,3.92
103378,489,12.8,7,702.35,64.15,39.53,31.41,3.68
