date,dish_name,abc_class,prepare_weight_kg,price_per_100g,estimated_profit,preference_weight_new,association_strength_norm
2025-05-07,春卷,A,1.4,4.519534,22.145716,0.159454,0.920684
2025-05-07,雪菜蛋饺,B,0.2,3.800987,2.660691,0.152606,0.957155
2025-05-07,莴苣,B,0.2,2.600333,1.820233,0.148634,0.951304
2025-05-07,鸭血豆腐,B,0.2,2.299805,1.609864,0.146623,0.933006
2025-05-07,大白菜/豆芽,B,0.2,1.650507,1.155355,0.150605,0.932402
2025-05-07,土豆丝/小青菜,B,0.2,1.62048,1.134336,0.148574,0.89021
2025-05-07,土豆丝/青菜,B,0.2,1.599051,1.119336,0.151252,0.947795
2025-05-07,白菜油付,B,0.2,1.574268,1.101987,0.151899,0.957119
2025-05-07,青菜,B,0.2,1.454398,1.018079,0.15593,1.0
2025-05-08,油豆腐烧肉,A,22.5,2.847153,224.213327,0.177626,0.90877
2025-05-08,家常豆腐,A,22.5,2.613331,205.799826,0.177892,0.91239
2025-05-08,葱油娃娃菜,A,22.5,2.343203,184.527225,0.162502,0.88748
2025-05-08,米饭,A,21.8,0.214642,16.377181,0.604771,0.0
2025-05-08,茭白肉丝小炒,A,19.4,4.444496,301.781308,0.175521,0.917634
2025-05-08,盐水虾,A,11.9,6.98638,290.98273,0.175946,0.879944
2025-05-08,小青菜,A,7.5,1.608679,42.22783,0.160504,0.925123
2025-05-08,酸辣土豆丝,A,7.0,1.506373,36.90614,0.15814,0.896508
2025-05-08,番茄炒蛋/红烧萝卜,A,5.8,1.953464,39.655317,0.171992,0.912367
2025-05-08,春卷,A,3.8,4.519534,60.109802,0.159454,0.920684
2025-05-08,红烧排骨,A,3.6,4.856068,61.186458,0.147753,0.881796
2025-05-08,付皮包,A,1.5,3.56138,18.697247,0.157187,0.883581
2025-05-08,雪菜蛋饺,B,0.2,3.800987,2.660691,0.152606,0.957155
2025-05-08,雪菜山药,B,0.2,2.736084,1.915259,0.147925,0.948159
2025-05-08,莴苣,B,0.2,2.600333,1.820233,0.148634,0.951304
2025-05-08,大白菜/豆芽,B,0.2,1.650507,1.155355,0.150605,0.932402
2025-05-08,土豆丝/小青菜,B,0.2,1.62048,1.134336,0.148574,0.89021
2025-05-08,土豆丝/青菜,B,0.2,1.599051,1.119336,0.151252,0.947795
2025-05-08,青菜,B,0.2,1.454398,1.018079,0.15593,1.0
2025-05-09,油豆腐烧肉,A,23.1,2.847153,230.192349,0.177626,0.90877
2025-05-09,家常豆腐,A,23.1,2.613331,211.287821,0.177892,0.91239
2025-05-09,小青菜,A,23.1,1.608679,130.061717,0.160504,0.925123
2025-05-09,米饭,A,23.1,0.214642,17.353802,0.604771,0.0
2025-05-09,葱油娃娃菜,A,21.4,2.343203,175.505894,0.162502,0.88748
2025-05-09,番茄炒蛋/红烧萝卜,A,15.8,1.953464,108.026552,0.171992,0.912367
2025-05-09,盐水虾,A,11.8,6.98638,288.537497,0.175946,0.879944
2025-05-09,茭白肉丝小炒,A,8.4,4.444496,130.668195,0.175521,0.917634
2025-05-09,酸辣土豆丝,A,2.8,1.506373,14.762456,0.15814,0.896508
2025-05-09,鸭血豆腐,B,1.5,2.299805,12.073978,0.146623,0.933006
2025-05-09,莴苣,B,0.2,2.600333,1.820233,0.148634,0.951304
2025-05-09,大白菜/豆芽,B,0.2,1.650507,1.155355,0.150605,0.932402
2025-05-09,土豆丝/小青菜,B,0.2,1.62048,1.134336,0.148574,0.89021
2025-05-09,白菜油付/土豆丝,B,0.2,1.59994,1.119958,0.147765,0.947322
2025-05-09,土豆丝/青菜,B,0.2,1.599051,1.119336,0.151252,0.947795
2025-05-09,白菜油付,B,0.2,1.574268,1.101987,0.151899,0.957119
2025-05-09,青菜,B,0.2,1.454398,1.018079,0.15593,1.0
2025-05-09,土豆丝/大白菜,B,0.2,1.400347,0.980243,0.148155,0.914108
2025-05-12,茭白肉丝小炒,A,23.3,4.444496,362.448685,0.175521,0.917634
2025-05-12,油豆腐烧肉,A,23.3,2.847153,232.185356,0.177626,0.90877
2025-05-12,家常豆腐,A,23.3,2.613331,213.117153,0.177892,0.91239
2025-05-12,葱油娃娃菜,A,23.3,2.343203,191.088193,0.162502,0.88748
2025-05-12,米饭,A,23.0,0.214642,17.278677,0.604771,0.0
2025-05-12,酸辣土豆丝,A,13.5,1.506373,71.176127,0.15814,0.896508
2025-05-12,盐水虾,A,8.7,6.98638,212.735273,0.175946,0.879944
2025-05-12,番茄炒蛋/红烧萝卜,A,7.0,1.953464,47.859865,0.171992,0.912367
2025-05-12,春卷,A,3.4,4.519534,53.782454,0.159454,0.920684
2025-05-12,红烧排骨,A,3.1,4.856068,52.688339,0.147753,0.881796
2025-05-12,付皮包,A,2.5,3.56138,31.162079,0.157187,0.883581
2025-05-12,小青菜,A,1.4,1.608679,7.882528,0.160504,0.925123
2025-05-12,雪菜蛋饺,B,0.2,3.800987,2.660691,0.152606,0.957155
2025-05-12,雪菜山药,B,0.2,2.736084,1.915259,0.147925,0.948159
2025-05-12,莴苣,B,0.2,2.600333,1.820233,0.148634,0.951304
2025-05-12,大白菜/豆芽,B,0.2,1.650507,1.155355,0.150605,0.932402
2025-05-12,土豆丝/小青菜,B,0.2,1.62048,1.134336,0.148574,0.89021
2025-05-12,土豆丝/青菜,B,0.2,1.599051,1.119336,0.151252,0.947795
2025-05-12,青菜,B,0.2,1.454398,1.018079,0.15593,1.0
