日期,星期,菜品名称,备菜单位_100g,备菜重量kg,历史均价_元每100g,预计销售额,预计利润,消费偏好权重,热量供给,碳水供给,蛋白质供给,脂肪供给,膳食纤维供给
2025-05-08,星期四,葱油芋头/红烧萝卜,37,3.7,2.301,85.126,29.794,0.021,6660.0,947.2,129.493,303.392,159.094
2025-05-08,星期四,酸辣土豆丝,36,3.6,1.506,54.229,18.98,0.022,2772.0,612.0,72.0,3.619,64.799
2025-05-08,星期四,扎肉,21,2.1,7.642,160.49,56.172,0.026,5250.0,105.0,315.0,378.0,21.0
2025-05-08,星期四,葱油扇贝,19,1.9,7.226,137.297,48.054,0.013,2850.0,95.0,380.0,114.0,0.0
2025-05-08,星期四,茭白肉丝小炒,15,1.5,4.444,66.667,23.334,0.034,2700.0,225.0,180.0,120.0,45.0
2025-05-08,星期四,宫保鸡丁,12,1.2,3.926,47.109,16.488,0.013,1992.0,96.0,144.0,108.0,12.0
2025-05-08,星期四,豆芽/木耳青菜,12,1.2,1.43,17.166,6.008,0.016,960.0,144.0,72.0,24.0,48.0
2025-05-08,星期四,红烧排骨,11,1.1,5.237,57.606,20.162,0.019,2750.0,55.0,220.0,165.0,0.0
2025-05-08,星期四,青瓜付竹肉片,11,1.1,4.634,50.976,17.841,0.013,1980.0,165.0,132.0,88.0,33.0
2025-05-08,星期四,酱鸭,9,0.9,4.788,43.091,15.082,0.017,2403.0,27.0,162.0,180.0,0.0
2025-05-08,星期四,油豆腐烧肉,9,0.9,2.847,25.624,8.969,0.038,1980.0,72.0,108.0,135.0,18.0
2025-05-08,星期四,花椒排骨,7,0.7,5.074,35.521,12.432,0.018,2240.0,35.0,175.0,154.0,7.0
2025-05-08,星期四,培红菜蘑菇毛豆肉丝,7,0.7,4.672,32.704,11.446,0.022,2240.0,105.0,175.0,126.0,28.0
2025-05-08,星期四,虎皮蛋烧肉,7,0.7,4.495,31.464,11.012,0.015,1750.0,70.0,105.0,126.0,7.0
2025-05-08,星期四,三色绿豆芽,5,0.5,1.782,8.908,3.118,0.023,225.0,34.001,15.999,7.499,9.496
2025-05-08,星期四,包菜粉丝,4,0.4,1.885,7.541,2.639,0.02,360.0,72.0,8.0,4.0,8.0
2025-05-08,星期四,西葫芦炒鸡蛋/肉末茄,3,0.3,2.951,8.852,3.098,0.013,840.0,60.0,54.0,45.0,9.0
2025-05-08,星期四,卤鸭,2,0.2,4.615,9.23,3.231,0.016,480.0,6.0,40.0,34.0,0.0
2025-05-08,星期四,芹菜香干,2,0.2,2.577,5.154,1.804,0.018,196.0,16.0,12.0,10.0,4.0
2025-05-09,星期五,米饭,225,22.5,0.215,48.294,16.903,0.578,29250.0,6345.002,607.535,67.479,90.0
2025-05-09,星期五,家常豆腐,170,17.0,2.613,444.266,155.493,0.037,19720.0,730.944,2074.017,1036.932,101.97
2025-05-09,星期五,宫保鸡丁,126,12.6,3.926,494.647,173.127,0.013,20916.0,1008.0,1512.0,1134.0,126.0
2025-05-09,星期五,春卷,122,12.2,4.52,551.383,192.984,0.019,30500.0,3660.0,976.0,1220.0,244.0
2025-05-09,星期五,油爆虾,116,11.6,6.097,707.296,247.553,0.014,23200.0,580.0,2320.0,1160.0,116.0
2025-05-09,星期五,盐水虾,81,8.1,6.986,565.897,198.064,0.04,8019.0,0.0,1944.0,24.285,0.0
2025-05-09,星期五,花菜,57,5.7,2.6,148.205,51.872,0.024,1425.0,239.403,142.478,11.403,142.478
2025-05-09,星期五,茭白肉丝小炒,55,5.5,4.444,244.447,85.557,0.034,9900.0,825.0,660.0,440.0,165.0
2025-05-09,星期五,木耳莴笋,48,4.8,2.368,113.675,39.786,0.023,2400.0,489.603,120.007,14.396,134.397
2025-05-09,星期五,红烧肉,44,4.4,5.202,228.869,80.104,0.013,11000.0,220.0,440.0,880.0,0.0
2025-05-09,星期五,葱油金针菇,43,4.3,3.032,130.385,45.635,0.015,1505.0,258.0,86.0,43.0,86.0
2025-05-09,星期五,木耳娃娃菜,38,3.8,2.248,85.438,29.903,0.022,950.0,152.0,38.0,0.0,38.0
2025-05-09,星期五,黄豆猪脚,36,3.6,4.586,165.103,57.786,0.018,6840.0,216.0,720.0,360.0,72.0
2025-05-09,星期五,红烧带鱼,34,3.4,6.101,207.432,72.601,0.015,5100.0,170.0,680.0,204.0,0.0
2025-05-09,星期五,葱油娃娃菜,31,3.1,2.343,72.639,25.424,0.027,1395.0,155.0,62.0,62.0,31.0
2025-05-09,星期五,豆芽/木耳青菜,31,3.1,1.43,44.345,15.521,0.016,2480.0,372.0,186.0,62.0,124.0
2025-05-09,星期五,酸辣土豆丝,29,2.9,1.506,43.685,15.29,0.022,2233.0,493.0,58.0,2.915,52.199
2025-05-09,星期五,付皮包,28,2.8,3.561,99.719,34.902,0.023,7000.0,980.0,280.0,224.0,56.0
2025-05-09,星期五,大排,27,2.7,5.319,143.602,50.261,0.038,6750.0,135.0,540.0,405.0,0.0
2025-05-09,星期五,葱油鸡,25,2.5,4.239,105.973,37.091,0.075,5000.0,50.0,500.0,300.0,0.0
2025-05-09,星期五,虎皮蛋烧肉,20,2.0,4.495,89.898,31.464,0.015,5000.0,200.0,300.0,360.0,20.0
2025-05-09,星期五,培红菜蘑菇毛豆肉丝,15,1.5,4.672,70.08,24.528,0.022,4800.0,225.0,375.0,270.0,60.0
2025-05-09,星期五,红烧排骨,10,1.0,4.856,48.561,16.996,0.014,2500.0,50.0,200.0,150.0,0.0
2025-05-09,星期五,芹菜香干,10,1.0,2.577,25.771,9.02,0.018,980.0,80.0,60.0,50.0,20.0
2025-05-09,星期五,酱鸭,9,0.9,4.788,43.091,15.082,0.017,2403.0,27.0,162.0,180.0,0.0
2025-05-09,星期五,油麦菜,9,0.9,2.389,21.498,7.524,0.016,135.0,18.905,12.603,3.603,10.799
2025-05-09,星期五,花椒排骨,8,0.8,5.074,40.596,14.208,0.018,2560.0,40.0,200.0,176.0,8.0
2025-05-09,星期五,虎皮尖椒/西葫芦炒蛋,4,0.4,2.484,9.935,3.477,0.013,1120.0,48.0,60.0,72.0,12.0
2025-05-09,星期五,千张结烧肉,2,0.2,4.865,9.729,3.405,0.02,500.0,20.0,30.0,36.0,4.0
2025-05-09,星期五,油豆腐烧肉,2,0.2,2.847,5.694,1.993,0.038,440.0,16.0,24.0,30.0,4.0
2025-05-12,星期一,春卷,181,18.1,4.52,818.036,286.312,0.019,45250.0,5430.0,1448.0,1810.0,362.0
2025-05-12,星期一,米饭,157,15.7,0.215,33.699,11.795,0.578,20410.0,4427.401,423.925,47.086,62.8
2025-05-12,星期一,葱油扇贝,107,10.7,7.226,773.201,270.62,0.013,16050.0,535.0,2140.0,642.0,0.0
2025-05-12,星期一,大排,88,8.8,5.319,468.036,163.813,0.038,22000.0,440.0,1760.0,1320.0,0.0
2025-05-12,星期一,酸辣土豆丝,88,8.8,1.506,132.561,46.396,0.022,6776.0,1496.0,176.0,8.846,158.397
2025-05-12,星期一,红烧排骨,85,8.5,4.856,412.766,144.468,0.014,21250.0,425.0,1700.0,1275.0,0.0
2025-05-12,星期一,三色绿豆芽,71,7.1,1.782,126.491,44.272,0.023,3195.0,482.809,227.191,106.48,134.847
2025-05-12,星期一,盐水虾,63,6.3,6.986,440.142,154.05,0.04,6237.0,0.0,1512.0,18.888,0.0
2025-05-12,星期一,红烧带鱼,61,6.1,6.101,372.157,130.255,0.015,9150.0,305.0,1220.0,366.0,0.0
2025-05-12,星期一,虎皮尖椒/西葫芦炒蛋,61,6.1,2.484,151.503,53.026,0.013,17080.0,732.0,915.0,1098.0,183.0
2025-05-12,星期一,土豆丝/小青菜,58,5.8,1.62,93.988,32.896,0.014,6960.0,974.425,202.99,301.575,139.184
2025-05-12,星期一,葱油芋头/红烧萝卜,57,5.7,2.301,131.14,45.899,0.021,10260.0,1459.2,199.49,467.387,245.09
2025-05-12,星期一,葱油金针菇,51,5.1,3.032,154.642,54.125,0.015,1785.0,306.0,102.0,51.0,102.0
2025-05-12,星期一,包菜粉丝,51,5.1,1.885,96.15,33.652,0.02,4590.0,918.0,102.0,51.0,102.0
2025-05-12,星期一,油爆虾,47,4.7,6.097,286.577,100.302,0.014,9400.0,235.0,940.0,470.0,47.0
2025-05-12,星期一,扎肉,46,4.6,7.642,351.55,123.042,0.026,11500.0,230.0,690.0,828.0,46.0
2025-05-12,星期一,小青菜,46,4.6,1.609,73.999,25.9,0.02,690.0,124.21,68.993,9.209,50.604
2025-05-12,星期一,木耳娃娃菜,39,3.9,2.248,87.686,30.69,0.022,975.0,156.0,39.0,0.0,39.0
2025-05-12,星期一,红烧肉,37,3.7,5.202,192.458,67.36,0.013,9250.0,185.0,370.0,740.0,0.0
2025-05-12,星期一,花菜,36,3.6,2.6,93.603,32.761,0.024,900.0,151.202,89.986,7.202,89.986
2025-05-12,星期一,付皮包,34,3.4,3.561,121.087,42.38,0.023,8500.0,1190.0,340.0,272.0,68.0
2025-05-12,星期一,油麦菜,33,3.3,2.389,78.825,27.589,0.016,495.0,69.319,46.213,13.213,39.595
2025-05-12,星期一,花椒排骨,13,1.3,5.074,65.968,23.089,0.018,4160.0,65.0,325.0,286.0,13.0
2025-05-12,星期一,培红菜蘑菇毛豆肉丝,13,1.3,4.672,60.736,21.258,0.022,4160.0,195.0,325.0,234.0,52.0
2025-05-12,星期一,葱油鸡,13,1.3,4.239,55.106,19.287,0.075,2600.0,26.0,260.0,156.0,0.0
2025-05-12,星期一,虎皮蛋烧肉,10,1.0,4.495,44.949,15.732,0.015,2500.0,100.0,150.0,180.0,10.0
2025-05-12,星期一,黄豆猪脚,6,0.6,4.586,27.517,9.631,0.018,1140.0,36.0,120.0,60.0,12.0
2025-05-12,星期一,青椒水面筋,5,0.5,3.043,15.216,5.325,0.017,600.0,100.0,25.0,15.0,10.0
2025-05-12,星期一,酱鸭,3,0.3,4.788,14.364,5.027,0.017,801.0,9.0,54.0,60.0,0.0
2025-05-12,星期一,豆芽/木耳青菜,2,0.2,1.43,2.861,1.001,0.016,160.0,24.0,12.0,4.0,8.0
