日期,星期,菜品名称,备菜单位_100g,备菜重量kg,历史均价_元每100g,预计销售额,预计利润,消费偏好权重,热量供给,碳水供给,蛋白质供给,脂肪供给,膳食纤维供给
2025-05-06,星期二,三色绿豆芽,2,0.2,1.782,3.563,1.247,0.023,90.0,13.6,6.4,2.999,3.799
2025-05-06,星期二,土豆丝/小青菜,2,0.2,1.62,3.241,1.134,0.014,240.0,33.601,7.0,10.399,4.799
2025-05-06,星期二,小青菜,2,0.2,1.609,3.217,1.126,0.02,30.0,5.4,3.0,0.4,2.2
2025-05-06,星期二,豆芽/青菜,2,0.2,1.568,3.136,1.098,0.014,88.0,17.0,6.4,0.4,3.6
2025-05-06,星期二,酸辣土豆丝,2,0.2,1.506,3.013,1.054,0.022,154.0,34.0,4.0,0.201,3.6
2025-05-06,星期二,青椒土豆丝,2,0.2,1.354,2.708,0.948,0.011,130.0,26.0,4.0,2.0,4.0
2025-05-07,星期三,茭白肉丝小炒,229,22.9,4.444,1017.79,356.226,0.034,41220.0,3435.0,2748.0,1832.0,687.0
2025-05-07,星期三,葱油鸡,229,22.9,4.239,970.712,339.749,0.075,45800.0,458.0,4580.0,2748.0,0.0
2025-05-07,星期三,家常豆腐,229,22.9,2.613,598.453,209.458,0.037,26564.0,984.625,2793.823,1396.808,137.36
2025-05-07,星期三,葱油娃娃菜,229,22.9,2.343,536.593,187.808,0.027,10305.0,1145.0,458.0,458.0,229.0
2025-05-07,星期三,米饭,229,22.9,0.215,49.153,17.204,0.578,29770.0,6457.802,618.336,68.679,91.6
2025-05-07,星期三,油豆腐烧肉,127,12.7,2.847,361.588,126.556,0.038,27940.0,1016.0,1524.0,1905.0,254.0
2025-05-07,星期三,木耳莴笋,123,12.3,2.368,291.293,101.952,0.023,6150.0,1254.607,307.518,36.89,344.393
2025-05-07,星期三,付皮包,50,5.0,3.561,178.069,62.324,0.023,12500.0,1750.0,500.0,400.0,100.0
2025-05-07,星期三,酸辣土豆丝,38,3.8,1.506,57.242,20.035,0.022,2926.0,646.0,76.0,3.82,68.399
2025-05-07,星期三,盐水虾,11,1.1,6.986,76.85,26.898,0.04,1089.0,0.0,264.0,3.298,0.0
2025-05-07,星期三,扎肉,2,0.2,7.642,15.285,5.35,0.026,500.0,10.0,30.0,36.0,2.0
2025-05-07,星期三,大排,2,0.2,5.319,10.637,3.723,0.038,500.0,10.0,40.0,30.0,0.0
2025-05-07,星期三,春卷,2,0.2,4.52,9.039,3.164,0.019,500.0,60.0,16.0,20.0,4.0
2025-05-07,星期三,木耳西兰花,2,0.2,3.073,6.145,2.151,0.015,68.0,8.0,6.0,0.0,4.0
2025-05-07,星期三,青椒水面筋,2,0.2,3.043,6.086,2.13,0.017,240.0,40.0,10.0,6.0,4.0
2025-05-07,星期三,葱油金针菇,2,0.2,3.032,6.064,2.123,0.015,70.0,12.0,4.0,2.0,4.0
2025-05-07,星期三,素烧鹅,2,0.2,2.708,5.415,1.895,0.011,300.0,40.0,10.0,12.0,4.0
2025-05-07,星期三,花菜,2,0.2,2.6,5.2,1.82,0.024,50.0,8.4,4.999,0.4,4.999
2025-05-07,星期三,芹菜香干,2,0.2,2.577,5.154,1.804,0.018,196.0,16.0,12.0,10.0,4.0
2025-05-07,星期三,青椒藕片,2,0.2,2.564,5.127,1.795,0.012,146.0,30.0,4.0,0.4,6.0
2025-05-07,星期三,油麦菜,2,0.2,2.389,4.777,1.672,0.016,30.0,4.201,2.801,0.801,2.4
2025-05-07,星期三,青韭南瓜丝,2,0.2,2.381,4.762,1.667,0.011,196.0,25.4,6.4,8.999,5.6
2025-05-07,星期三,葱油芋头/红烧萝卜,2,0.2,2.301,4.601,1.61,0.021,360.0,51.2,7.0,16.4,8.6
2025-05-07,星期三,木耳娃娃菜,2,0.2,2.248,4.497,1.574,0.022,50.0,8.0,2.0,0.0,2.0
2025-05-07,星期三,番茄炒蛋/红烧萝卜,2,0.2,1.953,3.907,1.367,0.032,640.0,50.0,30.0,36.0,8.0
2025-05-07,星期三,包菜粉丝,2,0.2,1.885,3.771,1.32,0.02,180.0,36.0,4.0,2.0,4.0
2025-05-07,星期三,三色绿豆芽,2,0.2,1.782,3.563,1.247,0.023,90.0,13.6,6.4,2.999,3.799
2025-05-07,星期三,土豆丝/小青菜,2,0.2,1.62,3.241,1.134,0.014,240.0,33.601,7.0,10.399,4.799
2025-05-07,星期三,小青菜,2,0.2,1.609,3.217,1.126,0.02,30.0,5.4,3.0,0.4,2.2
2025-05-07,星期三,豆芽/青菜,2,0.2,1.568,3.136,1.098,0.014,88.0,17.0,6.4,0.4,3.6
2025-05-07,星期三,豆芽/木耳青菜,2,0.2,1.43,2.861,1.001,0.016,160.0,24.0,12.0,4.0,8.0
2025-05-07,星期三,青椒土豆丝,2,0.2,1.354,2.708,0.948,0.011,130.0,26.0,4.0,2.0,4.0
2025-05-08,星期四,茭白肉丝小炒,225,22.5,4.444,1000.012,350.004,0.034,40500.0,3375.0,2700.0,1800.0,675.0
2025-05-08,星期四,葱油鸡,225,22.5,4.239,953.757,333.815,0.075,45000.0,450.0,4500.0,2700.0,0.0
2025-05-08,星期四,葱油娃娃菜,225,22.5,2.343,527.221,184.527,0.027,10125.0,1125.0,450.0,450.0,225.0
2025-05-08,星期四,米饭,225,22.5,0.215,48.294,16.903,0.578,29250.0,6345.002,607.535,67.479,90.0
2025-05-08,星期四,家常豆腐,181,18.1,2.613,473.013,165.555,0.037,20996.0,778.24,2208.219,1104.027,108.568
2025-05-08,星期四,油豆腐烧肉,153,15.3,2.847,435.614,152.465,0.038,33660.0,1224.0,1836.0,2295.0,306.0
2025-05-08,星期四,木耳莴笋,146,14.6,2.368,345.762,121.017,0.023,7300.0,1489.208,365.022,43.788,408.792
2025-05-08,星期四,付皮包,70,7.0,3.561,249.297,87.254,0.023,17500.0,2450.0,700.0,560.0,140.0
2025-05-08,星期四,盐水虾,16,1.6,6.986,111.782,39.124,0.04,1584.0,0.0,384.0,4.797,0.0
2025-05-08,星期四,牛肉,2,0.2,16.573,33.146,11.601,0.012,500.0,4.0,52.0,32.0,0.0
2025-05-08,星期四,扎肉,2,0.2,7.642,15.285,5.35,0.026,500.0,10.0,30.0,36.0,2.0
2025-05-08,星期四,大排,2,0.2,5.319,10.637,3.723,0.038,500.0,10.0,40.0,30.0,0.0
2025-05-08,星期四,春卷,2,0.2,4.52,9.039,3.164,0.019,500.0,60.0,16.0,20.0,4.0
2025-05-08,星期四,木耳西兰花,2,0.2,3.073,6.145,2.151,0.015,68.0,8.0,6.0,0.0,4.0
2025-05-08,星期四,青椒水面筋,2,0.2,3.043,6.086,2.13,0.017,240.0,40.0,10.0,6.0,4.0
2025-05-08,星期四,葱油金针菇,2,0.2,3.032,6.064,2.123,0.015,70.0,12.0,4.0,2.0,4.0
2025-05-08,星期四,素烧鹅,2,0.2,2.708,5.415,1.895,0.011,300.0,40.0,10.0,12.0,4.0
2025-05-08,星期四,花菜,2,0.2,2.6,5.2,1.82,0.024,50.0,8.4,4.999,0.4,4.999
2025-05-08,星期四,芹菜香干,2,0.2,2.577,5.154,1.804,0.018,196.0,16.0,12.0,10.0,4.0
2025-05-08,星期四,青椒藕片,2,0.2,2.564,5.127,1.795,0.012,146.0,30.0,4.0,0.4,6.0
2025-05-08,星期四,油麦菜,2,0.2,2.389,4.777,1.672,0.016,30.0,4.201,2.801,0.801,2.4
2025-05-08,星期四,青韭南瓜丝,2,0.2,2.381,4.762,1.667,0.011,196.0,25.4,6.4,8.999,5.6
2025-05-08,星期四,葱油芋头/红烧萝卜,2,0.2,2.301,4.601,1.61,0.021,360.0,51.2,7.0,16.4,8.6
2025-05-08,星期四,木耳娃娃菜,2,0.2,2.248,4.497,1.574,0.022,50.0,8.0,2.0,0.0,2.0
2025-05-08,星期四,番茄炒蛋/红烧萝卜,2,0.2,1.953,3.907,1.367,0.032,640.0,50.0,30.0,36.0,8.0
2025-05-08,星期四,包菜粉丝,2,0.2,1.885,3.771,1.32,0.02,180.0,36.0,4.0,2.0,4.0
2025-05-08,星期四,三色绿豆芽,2,0.2,1.782,3.563,1.247,0.023,90.0,13.6,6.4,2.999,3.799
2025-05-08,星期四,土豆丝/小青菜,2,0.2,1.62,3.241,1.134,0.014,240.0,33.601,7.0,10.399,4.799
2025-05-08,星期四,小青菜,2,0.2,1.609,3.217,1.126,0.02,30.0,5.4,3.0,0.4,2.2
2025-05-08,星期四,豆芽/青菜,2,0.2,1.568,3.136,1.098,0.014,88.0,17.0,6.4,0.4,3.6
2025-05-08,星期四,酸辣土豆丝,2,0.2,1.506,3.013,1.054,0.022,154.0,34.0,4.0,0.201,3.6
2025-05-08,星期四,青椒土豆丝,2,0.2,1.354,2.708,0.948,0.011,130.0,26.0,4.0,2.0,4.0
2025-05-09,星期五,葱油鸡,231,23.1,4.239,979.19,342.717,0.075,46200.0,462.0,4620.0,2772.0,0.0
2025-05-09,星期五,家常豆腐,231,23.1,2.613,603.679,211.288,0.037,26796.0,993.224,2818.224,1409.007,138.56
2025-05-09,星期五,葱油娃娃菜,231,23.1,2.343,541.28,189.448,0.027,10395.0,1155.0,462.0,462.0,231.0
2025-05-09,星期五,酸辣土豆丝,231,23.1,1.506,347.972,121.79,0.022,17787.0,3927.0,462.0,23.221,415.792
2025-05-09,星期五,米饭,231,23.1,0.215,49.582,17.354,0.578,30030.0,6514.202,623.736,69.279,92.4
2025-05-09,星期五,油豆腐烧肉,229,22.9,2.847,651.998,228.199,0.038,50380.0,1832.0,2748.0,3435.0,458.0
2025-05-09,星期五,茭白肉丝小炒,71,7.1,4.444,315.559,110.446,0.034,12780.0,1065.0,852.0,568.0,213.0
2025-05-09,星期五,盐水虾,26,2.6,6.986,181.646,63.576,0.04,2574.0,0.0,624.0,7.795,0.0
2025-05-09,星期五,木耳莴笋,18,1.8,2.368,42.628,14.92,0.023,900.0,183.601,45.003,5.399,50.399
2025-05-09,星期五,番茄炒蛋/红烧萝卜,8,0.8,1.953,15.628,5.47,0.032,2560.0,200.0,120.0,144.0,32.0
2025-05-09,星期五,包菜粉丝,7,0.7,1.885,13.197,4.619,0.02,630.0,126.0,14.0,7.0,14.0
2025-05-09,星期五,三色绿豆芽,3,0.3,1.782,5.345,1.871,0.023,135.0,20.4,9.6,4.499,5.698
2025-05-09,星期五,大排,2,0.2,5.319,10.637,3.723,0.038,500.0,10.0,40.0,30.0,0.0
2025-05-09,星期五,春卷,2,0.2,4.52,9.039,3.164,0.019,500.0,60.0,16.0,20.0,4.0
2025-05-09,星期五,付皮包,2,0.2,3.561,7.123,2.493,0.023,500.0,70.0,20.0,16.0,4.0
2025-05-09,星期五,木耳西兰花,2,0.2,3.073,6.145,2.151,0.015,68.0,8.0,6.0,0.0,4.0
2025-05-09,星期五,青椒水面筋,2,0.2,3.043,6.086,2.13,0.017,240.0,40.0,10.0,6.0,4.0
2025-05-09,星期五,葱油金针菇,2,0.2,3.032,6.064,2.123,0.015,70.0,12.0,4.0,2.0,4.0
2025-05-09,星期五,花菜,2,0.2,2.6,5.2,1.82,0.024,50.0,8.4,4.999,0.4,4.999
2025-05-09,星期五,芹菜香干,2,0.2,2.577,5.154,1.804,0.018,196.0,16.0,12.0,10.0,4.0
2025-05-09,星期五,青椒藕片,2,0.2,2.564,5.127,1.795,0.012,146.0,30.0,4.0,0.4,6.0
2025-05-09,星期五,油麦菜,2,0.2,2.389,4.777,1.672,0.016,30.0,4.201,2.801,0.801,2.4
2025-05-09,星期五,青韭南瓜丝,2,0.2,2.381,4.762,1.667,0.011,196.0,25.4,6.4,8.999,5.6
2025-05-09,星期五,木耳花菜,2,0.2,2.356,4.712,1.649,0.011,54.0,10.0,4.0,0.0,4.0
2025-05-09,星期五,葱油芋头/红烧萝卜,2,0.2,2.301,4.601,1.61,0.021,360.0,51.2,7.0,16.4,8.6
2025-05-09,星期五,木耳娃娃菜,2,0.2,2.248,4.497,1.574,0.022,50.0,8.0,2.0,0.0,2.0
2025-05-09,星期五,包菜油付/绿豆芽,2,0.2,1.65,3.301,1.155,0.011,240.0,20.602,10.4,15.0,7.6
2025-05-09,星期五,土豆丝/小青菜,2,0.2,1.62,3.241,1.134,0.014,240.0,33.601,7.0,10.399,4.799
2025-05-09,星期五,小青菜,2,0.2,1.609,3.217,1.126,0.02,30.0,5.4,3.0,0.4,2.2
2025-05-09,星期五,豆芽/青菜,2,0.2,1.568,3.136,1.098,0.014,88.0,17.0,6.4,0.4,3.6
2025-05-09,星期五,豆芽/木耳青菜,2,0.2,1.43,2.861,1.001,0.016,160.0,24.0,12.0,4.0,8.0
2025-05-09,星期五,青椒土豆丝,2,0.2,1.354,2.708,0.948,0.011,130.0,26.0,4.0,2.0,4.0
2025-05-12,星期一,茭白肉丝小炒,233,23.3,4.444,1035.568,362.449,0.034,41940.0,3495.0,2796.0,1864.0,699.0
2025-05-12,星期一,葱油鸡,233,23.3,4.239,987.668,345.684,0.075,46600.0,466.0,4660.0,2796.0,0.0
2025-05-12,星期一,家常豆腐,233,23.3,2.613,608.906,213.117,0.037,27028.0,1001.823,2842.624,1421.206,139.759
2025-05-12,星期一,葱油娃娃菜,233,23.3,2.343,545.966,191.088,0.027,10485.0,1165.0,466.0,466.0,233.0
2025-05-12,星期一,米饭,233,23.3,0.215,50.012,17.504,0.578,30290.0,6570.602,629.136,69.879,93.2
2025-05-12,星期一,油豆腐烧肉,98,9.8,2.847,279.021,97.657,0.038,21560.0,784.0,1176.0,1470.0,196.0
2025-05-12,星期一,付皮包,86,8.6,3.561,306.279,107.198,0.023,21500.0,3010.0,860.0,688.0,172.0
2025-05-12,星期一,葱油芋头/红烧萝卜,86,8.6,2.301,197.86,69.251,0.021,15480.0,2201.6,300.985,705.181,369.785
2025-05-12,星期一,木耳莴笋,79,7.9,2.368,187.09,65.482,0.023,3950.0,805.804,197.512,23.694,221.196
2025-05-12,星期一,酸辣土豆丝,15,1.5,1.506,22.596,7.908,0.022,1155.0,255.0,30.0,1.508,26.999
2025-05-12,星期一,扎肉,2,0.2,7.642,15.285,5.35,0.026,500.0,10.0,30.0,36.0,2.0
2025-05-12,星期一,盐水虾,2,0.2,6.986,13.973,4.89,0.04,198.0,0.0,48.0,0.6,0.0
2025-05-12,星期一,春卷,2,0.2,4.52,9.039,3.164,0.019,500.0,60.0,16.0,20.0,4.0
2025-05-12,星期一,木耳西兰花,2,0.2,3.073,6.145,2.151,0.015,68.0,8.0,6.0,0.0,4.0
2025-05-12,星期一,青椒水面筋,2,0.2,3.043,6.086,2.13,0.017,240.0,40.0,10.0,6.0,4.0
2025-05-12,星期一,葱油金针菇,2,0.2,3.032,6.064,2.123,0.015,70.0,12.0,4.0,2.0,4.0
2025-05-12,星期一,素烧鹅,2,0.2,2.708,5.415,1.895,0.011,300.0,40.0,10.0,12.0,4.0
2025-05-12,星期一,花菜,2,0.2,2.6,5.2,1.82,0.024,50.0,8.4,4.999,0.4,4.999
2025-05-12,星期一,芹菜香干,2,0.2,2.577,5.154,1.804,0.018,196.0,16.0,12.0,10.0,4.0
2025-05-12,星期一,青椒藕片,2,0.2,2.564,5.127,1.795,0.012,146.0,30.0,4.0,0.4,6.0
2025-05-12,星期一,油麦菜,2,0.2,2.389,4.777,1.672,0.016,30.0,4.201,2.801,0.801,2.4
2025-05-12,星期一,青韭南瓜丝,2,0.2,2.381,4.762,1.667,0.011,196.0,25.4,6.4,8.999,5.6
2025-05-12,星期一,木耳娃娃菜,2,0.2,2.248,4.497,1.574,0.022,50.0,8.0,2.0,0.0,2.0
2025-05-12,星期一,番茄炒蛋/红烧萝卜,2,0.2,1.953,3.907,1.367,0.032,640.0,50.0,30.0,36.0,8.0
2025-05-12,星期一,包菜粉丝,2,0.2,1.885,3.771,1.32,0.02,180.0,36.0,4.0,2.0,4.0
2025-05-12,星期一,三色绿豆芽,2,0.2,1.782,3.563,1.247,0.023,90.0,13.6,6.4,2.999,3.799
2025-05-12,星期一,土豆丝/小青菜,2,0.2,1.62,3.241,1.134,0.014,240.0,33.601,7.0,10.399,4.799
2025-05-12,星期一,小青菜,2,0.2,1.609,3.217,1.126,0.02,30.0,5.4,3.0,0.4,2.2
2025-05-12,星期一,豆芽/青菜,2,0.2,1.568,3.136,1.098,0.014,88.0,17.0,6.4,0.4,3.6
2025-05-12,星期一,豆芽/木耳青菜,2,0.2,1.43,2.861,1.001,0.016,160.0,24.0,12.0,4.0,8.0
2025-05-12,星期一,青椒土豆丝,2,0.2,1.354,2.708,0.948,0.011,130.0,26.0,4.0,2.0,4.0
